latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.74156,-68.52258,303.69,1,1,2022-12-31,02:34,T,47,6.1NRT,289.76,5.2,N
19.49629,-71.09593,303.08,1.14,1.07,2022-12-31,02:34,T,53,6.1NRT,292.06,5.03,N
18.37577,-71.23964,315.86,1.2,1.09,2022-12-31,02:34,T,92,6.1NRT,292.91,17.02,N
18.74025,-68.53188,313.27,1,1,2022-12-31,02:34,T,87,6.1NRT,288.06,11.94,N
18.37749,-71.22853,314.73,1.2,1.09,2022-12-31,02:34,T,90,6.1NRT,293.16,15.73,N
18.09415,-94.04926,322.39,1.02,1.01,2022-12-31,04:14,T,100,6.1NRT,289.15,21.34,N
19.39572,-92.04864,307.4,1.05,1.02,2022-12-31,04:14,T,54,6.1NRT,295.03,5.84,N
19.29601,-92.1767,309.43,1.04,1.02,2022-12-31,04:14,T,66,6.1NRT,294.24,7.01,N
19.29731,-92.16701,337.69,1.04,1.02,2022-12-31,04:14,T,100,6.1NRT,294.65,39.5,N
18.64353,-92.17193,311.16,1.03,1.01,2022-12-31,04:14,T,82,6.1NRT,291.18,9.43,N
18.20198,-94.00491,307.94,1.02,1.01,2022-12-31,04:14,T,73,6.1NRT,292.26,8.08,N
17.92325,-93.76183,304.55,1.01,1.01,2022-12-31,04:14,T,61,6.1NRT,293.06,5.35,N
18.06145,-93.31376,309.14,1,1,2022-12-31,04:14,T,77,6.1NRT,294.01,7.94,N
18.09555,-94.03978,300.04,1.02,1.01,2022-12-31,04:14,T,12,6.1NRT,288.1,3.95,N
19.44617,-92.08623,318.62,1.04,1.02,2022-12-31,04:14,T,96,6.1NRT,294.66,14.94,N
19.39702,-92.03884,308.91,1.05,1.02,2022-12-31,04:14,T,63,6.1NRT,294.96,6.92,N
17.89129,-92.49026,316.1,1.01,1,2022-12-31,04:14,T,93,6.1NRT,294.36,13.23,N
17.90019,-92.49162,314.96,1.01,1,2022-12-31,04:14,T,90,6.1NRT,293.61,12.4,N
17.83989,-93.11791,356.39,1,1,2022-12-31,04:14,T,100,6.1NRT,295.44,76,N
17.83858,-93.12717,318.52,1,1,2022-12-31,04:14,T,97,6.1NRT,293.86,15.28,N
17.89606,-93.1805,326.36,1,1,2022-12-31,04:14,T,100,6.1NRT,295.13,22.97,N
17.89474,-93.18976,327.4,1,1,2022-12-31,04:14,T,100,6.1NRT,295.42,24.36,N
17.90492,-93.18189,326.57,1,1,2022-12-31,04:14,T,100,6.1NRT,294.46,22.92,N
17.90361,-93.19116,316.36,1,1,2022-12-31,04:14,T,93,6.1NRT,294.16,12.84,N
17.9146,-93.37893,304.26,1,1,2022-12-31,04:14,T,59,6.1NRT,293.57,5.1,N
17.91239,-93.52118,321.23,1.01,1,2022-12-31,04:14,T,100,6.1NRT,292.96,18.71,N
29.82744,-94.93224,328.03,1.02,1.01,2022-12-31,04:16,T,100,6.1NRT,288.43,29.41,N
29.83639,-94.93385,323.98,1.02,1.01,2022-12-31,04:16,T,100,6.1NRT,286.56,24.61,N
18.36318,-71.24043,303.93,1.01,1,2022-12-31,06:41,A,58,6.1NRT,291.86,5.84,N
29.8322,-94.93021,334.3,1.03,1.01,2022-12-31,08:17,A,100,6.1NRT,287.7,38.71,N
29.83074,-94.91971,304.88,1.03,1.01,2022-12-31,08:17,A,62,6.1NRT,286.85,8.76,N
17.90839,-93.18841,302.97,1.31,1.14,2022-12-31,08:20,A,40,6.1NRT,280.13,7.53,N
