latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
32.63145,-91.02568,301.99,1.01,1.01,2023-01-28,03:49,T,39,6.1NRT,274.81,8.54,N
20.61243,-76.74998,306.17,1.19,1.08,2023-01-28,06:52,A,67,6.1NRT,290.23,10.52,N
19.01043,-72.04755,303.2,1.14,1.06,2023-01-28,06:52,A,54,6.1NRT,290,7.22,N
18.92649,-70.3568,306.79,1.42,1.18,2023-01-28,06:52,A,69,6.1NRT,288.73,14.95,N
18.92429,-70.34386,306.55,1.42,1.18,2023-01-28,06:52,A,68,6.1NRT,288.86,14.73,N
24.7542,-97.76403,300.4,1,1,2023-01-28,08:30,A,27,6.1NRT,284.92,5.78,N
20.20929,-101.30716,314.81,1.16,1.07,2023-01-28,08:32,A,90,6.1NRT,280.33,21.34,N
17.9319,-102.20184,305.46,1.21,1.09,2023-01-28,08:32,A,64,6.1NRT,294.04,9.3,N
19.40673,-155.27464,380.61,2.27,1.46,2023-01-28,11:49,A,100,6.1NRT,273.26,529.81,N
19.40432,-155.2529,315.57,2.26,1.46,2023-01-28,11:49,A,88,6.1NRT,269.92,60.04,N
35.50624,-76.84861,316.72,1.15,1.07,2023-01-28,15:52,T,77,6.1NRT,285.05,19.58,D
35.49482,-76.83863,307.11,1.15,1.07,2023-01-28,15:52,T,34,6.1NRT,285.18,9.75,D
35.14495,-79.05451,301.6,1.01,1,2023-01-28,15:52,T,48,6.1NRT,284.9,6.3,D
35.02335,-79.2939,308.69,1,1,2023-01-28,15:52,T,67,6.1NRT,284.8,10.66,D
35.87952,-76.71027,303.36,1.15,1.07,2023-01-28,15:52,T,56,6.1NRT,285.16,8.41,D
34.44258,-78.29398,321.96,1.05,1.02,2023-01-28,15:52,T,81,6.1NRT,285.95,23.05,D
34.93521,-81.62591,304.66,1.06,1.03,2023-01-28,15:52,T,59,6.1NRT,280.91,9.4,D
36.13197,-76.49781,303.22,1.16,1.07,2023-01-28,15:52,T,52,6.1NRT,283.7,9.31,D
40.86536,-76.19834,301.13,1.05,1.03,2023-01-28,15:52,T,45,6.1NRT,276.6,8.6,D
30.37506,-81.75958,328.65,1.01,1.01,2023-01-28,15:54,T,86,6.1NRT,288,28.39,D
33.57018,-81.00473,305.97,1.01,1.01,2023-01-28,15:54,T,63,6.1NRT,281.89,9.64,D
33.69055,-83.57783,303.39,1.23,1.1,2023-01-28,15:54,T,56,6.1NRT,271.37,11.25,D
32.45102,-84.55583,300.1,1.34,1.15,2023-01-28,15:54,T,27,6.1NRT,285.16,7.46,D
31.70234,-83.3886,303.81,1.15,1.07,2023-01-28,15:54,T,57,6.1NRT,280,9.72,D
31.50557,-82.76351,303.25,1.08,1.04,2023-01-28,15:54,T,55,6.1NRT,285.09,7.6,D
31.56122,-83.49757,307.71,1.16,1.07,2023-01-28,15:54,T,66,6.1NRT,284.28,12.18,D
31.33885,-82.27228,301.95,1.05,1.02,2023-01-28,15:54,T,50,6.1NRT,282.6,7.01,D
31.60575,-87.80563,308.59,2.11,1.41,2023-01-28,15:54,T,67,6.1NRT,279.16,32.27,D
31.5932,-87.80717,311.33,2.11,1.41,2023-01-28,15:54,T,71,6.1NRT,277.56,38.55,D
31.6046,-87.81289,313.66,2.11,1.41,2023-01-28,15:54,T,74,6.1NRT,279.02,45.5,D
31.17804,-86.96034,300.65,1.82,1.32,2023-01-28,15:54,T,6,6.1NRT,283.95,12.2,D
31.16627,-86.96162,301.65,1.82,1.32,2023-01-28,15:54,T,18,6.1NRT,284.05,13.31,D
31.1563,-86.98206,305.12,1.83,1.32,2023-01-28,15:54,T,22,6.1NRT,283.7,17.22,D
31.16934,-86.94927,307.25,1.82,1.32,2023-01-28,15:54,T,37,6.1NRT,284.03,20.41,D
31.14773,-86.97089,302.83,1.82,1.32,2023-01-28,15:54,T,41,6.1NRT,284.25,15.59,D
30.37649,-81.76987,312.46,1.01,1.01,2023-01-28,15:54,T,73,6.1NRT,287.2,12.38,D
30.43068,-82.29957,305.1,1.03,1.02,2023-01-28,15:54,T,61,6.1NRT,285.64,8.11,D
30.42314,-82.31168,300.57,1.03,1.02,2023-01-28,15:54,T,31,6.1NRT,285.66,5.4,D
30.23539,-81.4872,303.72,1,1,2023-01-28,15:54,T,57,6.1NRT,288.69,5.97,D
30.45897,-83.19955,318.73,1.1,1.05,2023-01-28,15:54,T,79,6.1NRT,286.87,19.73,D
