latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
19.33204,-72.49904,301.47,1,1,2023-01-29,02:49,T,41,6.1NRT,290.05,4.46,N
20.48238,-76.07516,318.98,1.26,1.12,2023-01-29,02:49,T,98,6.1NRT,293.1,24.81,N
20.47253,-76.07335,318.37,1.26,1.12,2023-01-29,02:49,T,97,6.1NRT,289.39,24.73,N
20.48402,-76.00266,306.4,1.25,1.11,2023-01-29,02:49,T,68,6.1NRT,292.97,8.94,N
20.61165,-74.97707,303.76,1.11,1.05,2023-01-29,02:49,T,57,6.1NRT,292.38,5.18,N
20.60239,-74.97529,305.72,1.11,1.05,2023-01-29,02:49,T,65,6.1NRT,292.37,6.75,N
20.24021,-76.91801,302.54,1.44,1.19,2023-01-29,02:49,T,50,6.1NRT,291.68,7.57,N
20.23288,-76.92409,302.91,1.44,1.19,2023-01-29,02:49,T,52,6.1NRT,291.53,7.94,N
20.20154,-76.91804,304.19,1.44,1.19,2023-01-29,02:49,T,59,6.1NRT,291.77,9.57,N
20.48046,-76.08703,315.58,1.27,1.12,2023-01-29,02:49,T,85,6.1NRT,290.25,20.87,N
20.77393,-76.55492,304.77,1.34,1.15,2023-01-29,02:49,T,62,6.1NRT,291.92,9.51,N
21.06927,-78.01482,302.95,1.65,1.26,2023-01-29,02:49,T,52,6.1NRT,291.6,9.7,N
21.06666,-78.03033,302.14,1.65,1.26,2023-01-29,02:49,T,46,6.1NRT,292,8.76,N
21.06888,-78.02029,307.6,1.65,1.26,2023-01-29,02:49,T,72,6.1NRT,291.86,16.61,N
21.2364,-77.91763,302.46,1.61,1.25,2023-01-29,02:49,T,49,6.1NRT,290.34,10.11,N
21.69852,-78.71427,305.29,1.8,1.31,2023-01-29,02:49,T,64,6.1NRT,291.15,15.96,N
21.87059,-78.66913,308.05,1.77,1.3,2023-01-29,02:49,T,73,6.1NRT,291.62,19.42,N
21.8703,-78.65753,301.26,1.77,1.3,2023-01-29,02:49,T,32,6.1NRT,291.15,9.25,N
21.8673,-78.6741,302.59,1.77,1.3,2023-01-29,02:49,T,49,6.1NRT,291.57,10.77,N
22.14115,-78.37444,306.92,1.67,1.27,2023-01-29,02:49,T,70,6.1NRT,293.12,13.75,N
22.13838,-78.39017,312.35,1.67,1.27,2023-01-29,02:49,T,85,6.1NRT,292.87,22.23,N
17.9152,-93.51889,303.46,1.31,1.13,2023-01-29,04:27,T,55,6.1NRT,292.3,7.32,N
17.84277,-93.10935,306.49,1.39,1.17,2023-01-29,04:27,T,68,6.1NRT,291.62,11.06,N
17.84121,-93.12223,338.44,1.38,1.16,2023-01-29,04:27,T,100,6.1NRT,292.92,65.64,N
17.89688,-93.18168,314.57,1.37,1.16,2023-01-29,04:27,T,89,6.1NRT,292.96,18.85,N
17.89528,-93.19447,312.71,1.37,1.16,2023-01-29,04:27,T,85,6.1NRT,293.09,16.48,N
17.89347,-93.18707,315.1,1.37,1.16,2023-01-29,04:27,T,91,6.1NRT,293.12,19.89,N
18.0616,-93.3124,304.21,1.35,1.15,2023-01-29,04:27,T,59,6.1NRT,292.23,7.98,N
18.67445,-99.16275,300.25,1.11,1.05,2023-01-29,04:29,T,23,6.1NRT,287.92,5.94,N
18.09485,-94.04106,302.08,1.23,1.1,2023-01-29,04:29,T,47,6.1NRT,292,5.99,N
18.09343,-94.05242,307.74,1.22,1.1,2023-01-29,04:29,T,72,6.1NRT,292.07,10.51,N
18.20113,-94.00361,303.32,1.24,1.1,2023-01-29,04:29,T,54,6.1NRT,292.14,6.64,N
19.29145,-92.15998,309.52,1.68,1.28,2023-01-29,04:29,T,67,6.1NRT,294.04,14.98,N
19.2896,-92.17574,307.93,1.68,1.27,2023-01-29,04:29,T,58,6.1NRT,293.98,12.56,N
19.28998,-92.16547,307.95,1.68,1.28,2023-01-29,04:29,T,9,6.1NRT,294.06,11.58,N
19.39566,-92.04935,305.94,1.72,1.29,2023-01-29,04:29,T,39,6.1NRT,294.14,11.07,N
19.39506,-92.03965,307.22,1.73,1.29,2023-01-29,04:29,T,52,6.1NRT,294.19,12.22,N
19.02341,-98.62503,319.53,1.05,1.02,2023-01-29,04:29,T,99,6.1NRT,270.63,23.65,N
19.65393,-99.80966,310.4,1.16,1.07,2023-01-29,04:29,T,80,6.1NRT,276.14,17.66,N
22.2678,-97.81,303.1,1,1,2023-01-29,04:29,T,50,6.1NRT,290.83,5.3,N
22.49731,-83.28841,302.55,1.02,1.01,2023-01-29,07:35,A,50,6.1NRT,290.85,5.26,N
22.13896,-78.37415,304.05,1.89,1.34,2023-01-29,07:35,A,58,6.1NRT,291.35,15.11,N
22.13451,-78.3822,302.1,1.89,1.34,2023-01-29,07:35,A,41,6.1NRT,291.07,12.31,N
22.55269,-83.34881,302.5,1.02,1.01,2023-01-29,07:35,A,50,6.1NRT,291.3,5.09,N
17.84484,-93.10979,331.35,2.7,1.57,2023-01-29,07:37,A,100,6.1NRT,291.63,132.92,N
17.90071,-93.17576,305.11,2.74,1.58,2023-01-29,07:37,A,63,6.1NRT,291.56,29.52,N
17.90401,-92.48598,302.41,2.43,1.5,2023-01-29,07:37,A,49,6.1NRT,292.34,16.03,N
17.89557,-93.18126,303.29,2.74,1.58,2023-01-29,07:37,A,54,6.1NRT,291.45,24.64,N
20.21966,-77.21991,327.07,2.8,1.6,2023-01-29,14:58,T,80,6.1NRT,296.51,88.57,D
20.60891,-74.97755,309.39,1.92,1.35,2023-01-29,14:58,T,55,6.1NRT,288.57,20.43,D
20.20543,-77.22137,319.39,2.8,1.6,2023-01-29,14:58,T,71,6.1NRT,296.74,53.04,D
18.33894,-71.21812,315.66,1.07,1.03,2023-01-29,14:58,T,60,6.1NRT,301.2,6.38,D
22.75059,-98.33679,332.44,1.65,1.26,2023-01-29,16:37,T,85,6.1NRT,297.01,49.95,D
26.25038,-80.85027,313.89,4.61,1.97,2023-01-29,16:37,T,60,6.1NRT,290.64,83.17,D
22.06703,-99.27725,308.94,1.89,1.34,2023-01-29,16:37,T,50,6.1NRT,295.27,14.64,D
22.06902,-99.29565,309.69,1.89,1.34,2023-01-29,16:37,T,54,6.1NRT,294.97,16.5,D
22.05704,-98.36599,312.35,1.62,1.25,2023-01-29,16:37,T,37,6.1NRT,297.96,9.24,D
22.74924,-98.32793,320.96,1.65,1.26,2023-01-29,16:37,T,75,6.1NRT,296.74,24.57,D
26.24933,-80.8577,313.21,4.61,1.97,2023-01-29,16:37,T,57,6.1NRT,290.65,82.71,D
22.75107,-98.34364,322.32,1.65,1.26,2023-01-29,16:37,T,77,6.1NRT,296.98,27.32,D
17.83895,-93.12408,341.21,1.04,1.02,2023-01-29,16:39,T,91,6.1NRT,299.93,43.16,D
18.16729,-95.96437,310.34,1.07,1.03,2023-01-29,16:39,T,45,6.1NRT,296.44,4.8,D
18.16864,-95.97427,323.89,1.07,1.03,2023-01-29,16:39,T,79,6.1NRT,296.81,17.58,D
17.89268,-93.17422,319.34,1.04,1.02,2023-01-29,16:39,T,75,6.1NRT,299.61,12.25,D
17.91395,-93.37542,311.64,1.03,1.01,2023-01-29,16:39,T,47,6.1NRT,298.54,6.17,D
17.84795,-93.1226,327.15,1.04,1.02,2023-01-29,16:39,T,82,6.1NRT,299.07,21.69,D
18.53715,-98.77089,319.8,1.55,1.23,2023-01-29,16:39,T,71,6.1NRT,303.82,16.5,D
17.84648,-93.113,330.42,1.04,1.02,2023-01-29,16:39,T,85,6.1NRT,298.57,26.13,D
17.83748,-93.11448,341.21,1.04,1.02,2023-01-29,16:39,T,91,6.1NRT,298.34,43.32,D
19.39151,-92.04196,314.14,1.1,1.05,2023-01-29,16:39,T,60,6.1NRT,294.93,11.38,D
19.29998,-92.16875,317.35,1.09,1.04,2023-01-29,16:39,T,68,6.1NRT,294.97,13.44,D
19.29839,-92.1586,317.67,1.09,1.04,2023-01-29,16:39,T,68,6.1NRT,294.91,13.81,D
19.29078,-92.17031,340.65,1.09,1.04,2023-01-29,16:39,T,90,6.1NRT,295.11,46.37,D
19.28919,-92.16016,322.36,1.09,1.04,2023-01-29,16:39,T,75,6.1NRT,294.82,18.5,D
19.24009,-92.2575,331.73,1.09,1.04,2023-01-29,16:39,T,84,6.1NRT,295.06,32.29,D
19.23853,-92.24742,327.14,1.09,1.04,2023-01-29,16:39,T,80,6.1NRT,294.94,25.78,D
19.48535,-96.4464,313.31,1.15,1.07,2023-01-29,16:39,T,61,6.1NRT,299.25,5.95,D
18.87198,-92.63005,324.97,1.06,1.03,2023-01-29,16:39,T,78,6.1NRT,295.5,22.17,D
18.87046,-92.62022,349.93,1.06,1.03,2023-01-29,16:39,T,95,6.1NRT,295.94,65.18,D
