latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.92511,-70.35061,328.32,1.02,1.01,2023-01-12,02:36,T,100,6.1NRT,290.74,27.35,N
18.92373,-70.36012,317.87,1.02,1.01,2023-01-12,02:36,T,96,6.1NRT,289.58,16.1,N
17.84508,-93.1161,359.95,1.01,1.01,2023-01-12,04:16,T,100,6.1NRT,293.97,86.98,N
17.89268,-92.49386,327.44,1.05,1.02,2023-01-12,04:16,T,100,6.1NRT,293.25,26.23,N
17.894,-92.48413,311.33,1.05,1.02,2023-01-12,04:16,T,82,6.1NRT,292.93,9.83,N
17.89088,-93.18061,328.37,1.01,1.01,2023-01-12,04:16,T,100,6.1NRT,293.8,26.02,N
17.84379,-93.1255,326.32,1.01,1.01,2023-01-12,04:16,T,100,6.1NRT,293.11,23.91,N
17.86637,-93.49733,310.61,1,1,2023-01-12,04:16,T,80,6.1NRT,292.44,9.76,N
17.8999,-93.18793,324.14,1.01,1.01,2023-01-12,04:16,T,100,6.1NRT,294.28,21.44,N
17.90118,-93.17854,320.6,1.01,1.01,2023-01-12,04:16,T,100,6.1NRT,294.01,17.63,N
17.88828,-93.19937,304.24,1.01,1.01,2023-01-12,04:16,T,59,6.1NRT,293.3,4.91,N
17.88958,-93.18999,325.28,1.01,1.01,2023-01-12,04:16,T,100,6.1NRT,293.94,22.66,N
17.89217,-93.17123,321.66,1.01,1.01,2023-01-12,04:16,T,100,6.1NRT,293.55,18.57,N
21.79747,-98.53985,303.12,1.36,1.15,2023-01-12,04:16,T,53,6.1NRT,290.35,8.64,N
22.85051,-98.93227,341.83,1.38,1.16,2023-01-12,04:16,T,100,6.1NRT,291.91,75.76,N
22.84829,-98.94539,314.36,1.38,1.16,2023-01-12,04:16,T,89,6.1NRT,290.88,20.79,N
19.395,-92.04453,317.8,1.12,1.05,2023-01-12,04:16,T,94,6.1NRT,293.38,16.05,N
19.18306,-96.23431,305.34,1.11,1.05,2023-01-12,04:16,T,64,6.1NRT,291.98,6.93,N
19.18149,-96.24465,303.87,1.11,1.05,2023-01-12,04:16,T,57,6.1NRT,291.91,6.08,N
19.30125,-92.20461,308.26,1.1,1.05,2023-01-12,04:16,T,60,6.1NRT,294.11,6.71,N
19.29602,-92.17236,337.23,1.1,1.05,2023-01-12,04:16,T,100,6.1NRT,294.46,42.14,N
19.29738,-92.16203,339.07,1.1,1.05,2023-01-12,04:16,T,100,6.1NRT,294.53,45.52,N
18.51139,-96.15083,304.87,1.12,1.05,2023-01-12,04:16,T,62,6.1NRT,291.59,7.02,N
18.50207,-96.14923,305.66,1.12,1.05,2023-01-12,04:16,T,65,6.1NRT,291.72,7.64,N
18.86796,-92.62759,323.04,1.05,1.02,2023-01-12,04:16,T,100,6.1NRT,294.92,19.93,N
18.86927,-92.61776,305.68,1.05,1.03,2023-01-12,04:16,T,35,6.1NRT,294.73,4.5,N
18.19921,-94.01024,318.13,1,1,2023-01-12,04:16,T,96,6.1NRT,293.42,14.75,N
18.20052,-94.00095,306.39,1,1,2023-01-12,04:16,T,68,6.1NRT,292.77,5.84,N
18.09191,-94.05372,314.26,1,1,2023-01-12,04:16,T,89,6.1NRT,293.32,12.3,N
18.09323,-94.04443,320.98,1,1,2023-01-12,04:16,T,100,6.1NRT,293.38,18.32,N
18.06701,-93.3119,314.5,1.01,1,2023-01-12,04:16,T,89,6.1NRT,292.86,12.66,N
17.92204,-93.7589,302.93,1,1,2023-01-12,04:16,T,52,6.1NRT,292.72,4.45,N
17.90819,-93.52282,310.15,1,1,2023-01-12,04:16,T,79,6.1NRT,292.51,9.42,N
17.91869,-93.38181,302.31,1.01,1,2023-01-12,04:16,T,48,6.1NRT,292.11,4,N
33.20489,-99.27077,308.7,1.05,1.03,2023-01-12,04:21,T,47,6.1NRT,284.55,11.04,N
33.21561,-99.2618,302.47,1.05,1.03,2023-01-12,04:21,T,20,6.1NRT,284.19,7.04,N
33.21391,-99.27283,306.05,1.05,1.03,2023-01-12,04:21,T,52,6.1NRT,283.92,9.38,N
18.93201,-70.34663,305.88,1.99,1.38,2023-01-12,06:58,A,66,6.1NRT,289.52,20.7,N
18.92367,-70.34374,301.33,1.99,1.38,2023-01-12,06:58,A,40,6.1NRT,289.49,13.19,N
21.73024,-78.6055,300.5,1.19,1.09,2023-01-12,06:58,A,29,6.1NRT,289.63,6.94,N
17.85366,-93.1192,306.19,2.93,1.63,2023-01-12,08:39,A,67,6.1NRT,290.92,33.28,N
17.93232,-102.19858,315.09,1.02,1.01,2023-01-12,08:39,A,91,6.1NRT,294.5,13.48,N
19.301,-92.16669,311.47,3.21,1.7,2023-01-12,08:39,A,75,6.1NRT,290.89,55.87,N
18.21202,-94.00151,305.62,2.47,1.51,2023-01-12,08:39,A,65,6.1NRT,290.74,23.44,N
18.20508,-94.01008,302.83,2.47,1.51,2023-01-12,08:39,A,52,6.1NRT,290.86,18.9,N
17.89969,-92.47598,301.75,3.26,1.71,2023-01-12,08:39,A,44,6.1NRT,291.22,24.42,N
18.0897,-94.03893,307.11,2.47,1.51,2023-01-12,08:39,A,70,6.1NRT,290.98,29.92,N
17.89861,-93.18593,313.2,2.88,1.62,2023-01-12,08:39,A,87,6.1NRT,291.16,56.75,N
17.89345,-93.15928,304.05,2.9,1.62,2023-01-12,08:39,A,58,6.1NRT,291.1,27.17,N
17.9117,-93.19024,301.28,2.88,1.62,2023-01-12,08:39,A,15,6.1NRT,290.78,18.14,N
17.90675,-93.16352,307.03,2.9,1.62,2023-01-12,08:39,A,70,6.1NRT,291.38,33.96,N
17.84854,-93.09213,304.06,2.94,1.63,2023-01-12,08:39,A,58,6.1NRT,290.82,28.32,N
17.91312,-93.51198,306.79,2.73,1.58,2023-01-12,08:39,A,69,6.1NRT,290.25,34.87,N
19.40912,-155.2603,347.35,1.59,1.24,2023-01-12,11:57,A,100,6.1NRT,292.23,114.92,N
19.41093,-155.27542,458.38,1.59,1.24,2023-01-12,11:57,A,100,6.1NRT,331.71,1636.41,N
19.39982,-155.27678,306.52,1.59,1.24,2023-01-12,11:57,A,46,6.1NRT,284.69,17.91,N
19.41267,-155.28999,347.58,1.6,1.24,2023-01-12,11:57,A,100,6.1NRT,288.94,117.15,N
19.52509,-71.76786,316.57,1.81,1.32,2023-01-12,14:48,T,71,6.1NRT,294.93,21.46,D
18.92412,-70.35123,327.79,1.41,1.18,2023-01-12,14:48,T,83,6.1NRT,292.97,38.33,D
19.52949,-71.77429,319.57,1.81,1.32,2023-01-12,14:48,T,75,6.1NRT,294.79,27.12,D
34.01363,-80.80859,304.98,1.86,1.33,2023-01-12,16:22,T,56,6.1NRT,282.96,15.21,D
34.01224,-80.8236,301.33,1.85,1.33,2023-01-12,16:22,T,41,6.1NRT,283.37,10.77,D
34.00835,-80.80445,301.21,1.86,1.33,2023-01-12,16:22,T,42,6.1NRT,282.87,11.04,D
26.51995,-80.73984,324.43,2.8,1.6,2023-01-12,16:24,T,81,6.1NRT,299.04,74.76,D
27.47659,-97.62657,313.92,2.83,1.61,2023-01-12,16:24,T,73,6.1NRT,294.62,41.65,D
29.88561,-81.76891,305.7,1.99,1.38,2023-01-12,16:24,T,51,6.1NRT,293.96,15.22,D
29.83319,-81.94715,305.47,1.94,1.36,2023-01-12,16:24,T,54,6.1NRT,293.84,12,D
29.8293,-81.92772,303.76,1.95,1.36,2023-01-12,16:24,T,49,6.1NRT,293.38,9.81,D
30.72258,-91.65372,308.87,1.25,1.11,2023-01-12,16:24,T,54,6.1NRT,285.96,9.9,D
30.83236,-94.77489,302.52,1.96,1.37,2023-01-12,16:24,T,53,6.1NRT,286.39,16.51,D
28.73958,-81.09586,310.04,2.35,1.48,2023-01-12,16:24,T,51,6.1NRT,293.46,25.61,D
28.72973,-81.10524,307.16,2.35,1.48,2023-01-12,16:24,T,58,6.1NRT,293.59,21.01,D
28.56855,-80.90532,318.51,2.45,1.51,2023-01-12,16:24,T,77,6.1NRT,294.18,55.4,D
28.56363,-80.88129,311.08,2.46,1.51,2023-01-12,16:24,T,69,6.1NRT,294.18,32,D
28.26084,-82.01517,304.57,2.08,1.4,2023-01-12,16:24,T,53,6.1NRT,293.41,13.18,D
27.87108,-80.82274,305.49,2.57,1.54,2023-01-12,16:24,T,56,6.1NRT,294.18,17.91,D
27.63114,-81.26801,309.24,2.43,1.5,2023-01-12,16:24,T,63,6.1NRT,295.86,24.49,D
26.51035,-80.71922,310.36,2.82,1.6,2023-01-12,16:24,T,26,6.1NRT,297.07,18.49,D
26.45125,-97.94169,311.92,2.9,1.62,2023-01-12,16:24,T,65,6.1NRT,294.94,32.78,D
26.44873,-97.94782,317.32,2.9,1.62,2023-01-12,16:24,T,66,6.1NRT,295.24,54.66,D
26.40779,-97.98064,316.95,2.91,1.63,2023-01-12,16:24,T,57,6.1NRT,294.37,51.79,D
22.9003,-82.46425,317.1,2.54,1.53,2023-01-12,16:24,T,73,6.1NRT,299.57,41.07,D
22.59368,-81.16921,310.08,3.21,1.7,2023-01-12,16:24,T,50,6.1NRT,297.25,22.87,D
22.59497,-81.17565,311.69,3.21,1.7,2023-01-12,16:24,T,65,6.1NRT,297.44,32.78,D
22.42476,-83.22552,311.04,2.29,1.46,2023-01-12,16:24,T,58,6.1NRT,295.46,18.45,D
26.51587,-80.74625,316.03,2.8,1.6,2023-01-12,16:24,T,73,6.1NRT,299.54,36.97,D
26.57582,-80.89874,310.02,2.73,1.58,2023-01-12,16:24,T,63,6.1NRT,298.11,22.19,D
26.51426,-80.71288,308.63,2.82,1.6,2023-01-12,16:24,T,36,6.1NRT,296.82,14.04,D
27.28911,-90.96767,310.83,1.08,1.04,2023-01-12,16:24,T,44,6.1NRT,292.49,10.25,D
26.56719,-80.89561,310.64,2.73,1.58,2023-01-12,16:24,T,64,6.1NRT,298.03,24.05,D
26.73235,-80.44072,314.64,2.91,1.63,2023-01-12,16:24,T,71,6.1NRT,294.17,42.96,D
27.46156,-80.95964,331.95,2.57,1.54,2023-01-12,16:24,T,87,6.1NRT,297.34,112.3,D
27.17892,-81.73291,306.85,2.3,1.47,2023-01-12,16:24,T,56,6.1NRT,296.03,15.32,D
27.44816,-80.9631,306.71,2.57,1.54,2023-01-12,16:24,T,38,6.1NRT,296.39,14.76,D
27.45644,-80.93462,316.5,2.58,1.54,2023-01-12,16:24,T,74,6.1NRT,297.09,45.23,D
31.79437,-84.32996,307.38,1.27,1.12,2023-01-12,16:24,T,39,6.1NRT,290.8,8.09,D
31.79208,-84.31695,310.31,1.27,1.12,2023-01-12,16:24,T,56,6.1NRT,291.14,10.9,D
32.31018,-90.1348,301.95,1.11,1.05,2023-01-12,16:24,T,50,6.1NRT,291.71,3.86,D
30.35867,-82.66189,302.69,1.69,1.28,2023-01-12,16:24,T,49,6.1NRT,292.16,8,D
30.36028,-82.66828,302.3,1.69,1.28,2023-01-12,16:24,T,46,6.1NRT,292.08,7.09,D
17.89653,-93.17937,336.73,1.09,1.04,2023-01-12,16:26,T,89,6.1NRT,296.76,36.88,D
17.89516,-93.16928,320.58,1.09,1.04,2023-01-12,16:26,T,52,6.1NRT,297.26,13.56,D
17.91325,-93.37414,320.26,1.11,1.05,2023-01-12,16:26,T,50,6.1NRT,294.14,15.8,D
17.90726,-93.51823,311.29,1.13,1.06,2023-01-12,16:26,T,55,6.1NRT,294.54,7.06,D
17.84348,-93.12129,338.7,1.08,1.04,2023-01-12,16:26,T,90,6.1NRT,297.97,41.01,D
17.8421,-93.11129,338.89,1.08,1.04,2023-01-12,16:26,T,90,6.1NRT,297.34,41.39,D
18.1332,-95.66388,319.08,1.52,1.22,2023-01-12,16:26,T,74,6.1NRT,295.37,21.54,D
17.89789,-93.18944,322.89,1.09,1.04,2023-01-12,16:26,T,71,6.1NRT,297.01,16.26,D
18.09239,-94.03856,311.97,1.2,1.09,2023-01-12,16:26,T,62,6.1NRT,296.15,8.87,D
18.09383,-94.04971,316.89,1.2,1.09,2023-01-12,16:26,T,71,6.1NRT,296.4,14.17,D
19.29434,-92.16006,322.96,1.03,1.02,2023-01-12,16:26,T,76,6.1NRT,294.89,19.32,D
18.7385,-99.35776,309.76,2.94,1.63,2023-01-12,16:26,T,50,6.1NRT,295.78,22.25,D
18.0039,-93.08543,310.82,1.08,1.04,2023-01-12,16:26,T,59,6.1NRT,297,6.08,D
