latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
17.91288,-93.52264,307.2,2.29,1.46,2022-12-28,03:49,T,71,6.1NRT,285.87,34.23,N
19.38888,-92.05096,323.65,1.66,1.27,2022-12-28,03:49,T,100,6.1NRT,293.68,40.87,N
19.39154,-92.03558,315.35,1.66,1.27,2022-12-28,03:49,T,88,6.1NRT,293.87,24.17,N
19.29867,-92.17262,330.51,1.7,1.28,2022-12-28,03:49,T,100,6.1NRT,293.67,59.72,N
19.30137,-92.15687,311.59,1.7,1.28,2022-12-28,03:49,T,76,6.1NRT,293.49,18.25,N
19.28739,-92.17043,308.89,1.7,1.28,2022-12-28,03:49,T,63,6.1NRT,293.53,15.02,N
18.50819,-96.14892,307.89,3.51,1.76,2022-12-28,03:49,T,73,6.1NRT,286.06,61.98,N
17.90087,-92.48695,308.31,1.91,1.35,2022-12-28,03:49,T,74,6.1NRT,288.49,22.11,N
17.89776,-92.50447,300.11,1.91,1.35,2022-12-28,03:49,T,17,6.1NRT,288.12,10.01,N
17.84151,-93.10568,313.83,2.13,1.42,2022-12-28,03:49,T,88,6.1NRT,287.79,40.14,N
18.64037,-92.16778,303.87,1.75,1.3,2022-12-28,03:49,T,57,6.1NRT,289.96,12.27,N
17.83806,-93.12515,335.82,2.14,1.42,2022-12-28,03:49,T,100,6.1NRT,288.45,115.54,N
17.91099,-93.52874,304.63,2.29,1.46,2022-12-28,03:49,T,61,6.1NRT,285.94,28.97,N
17.8944,-93.18254,308.11,2.15,1.43,2022-12-28,03:49,T,74,6.1NRT,283.47,29.82,N
17.90692,-93.18502,303.17,2.15,1.43,2022-12-28,03:49,T,45,6.1NRT,284.27,18.73,N
29.68601,-90.38993,314.92,1.02,1.01,2022-12-28,03:51,T,90,6.1NRT,277.63,18.18,N
18.92895,-70.34817,315.24,1.96,1.37,2022-12-28,06:12,A,91,6.1NRT,291.56,36.94,N
18.93142,-70.34032,308.99,1.96,1.37,2022-12-28,06:12,A,76,6.1NRT,291.53,26.32,N
18.93356,-70.35928,302.75,1.96,1.37,2022-12-28,06:12,A,51,6.1NRT,290.85,16.05,N
