latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
46.04242,-73.14333,322.04,0.41,0.37,2023-01-30,06:44,1,nominal,2.0NRT,264.45,2.59,N
26.73493,-77.36546,302.69,0.39,0.36,2023-01-30,06:48,1,nominal,2.0NRT,289.95,0.77,N
26.73552,-77.36933,302.96,0.39,0.36,2023-01-30,06:48,1,nominal,2.0NRT,290.15,0.65,N
29.9812,-90.45122,305.31,0.68,0.74,2023-01-30,06:48,1,nominal,2.0NRT,284.68,2.56,N
29.99974,-90.40697,298.59,0.67,0.74,2023-01-30,06:48,1,nominal,2.0NRT,284.98,2.24,N
29.98209,-90.45054,299.28,0.68,0.74,2023-01-30,06:48,1,nominal,2.0NRT,284.71,2.54,N
30.00088,-90.40613,298.42,0.68,0.74,2023-01-30,06:48,1,nominal,2.0NRT,285.5,1.92,N
26.50198,-80.76453,308.82,0.5,0.41,2023-01-30,06:48,1,nominal,2.0NRT,290.03,2.21,N
26.50635,-80.7689,308.1,0.5,0.41,2023-01-30,06:48,1,nominal,2.0NRT,289.98,2.39,N
26.50262,-80.76949,320.69,0.5,0.41,2023-01-30,06:48,1,nominal,2.0NRT,291.23,2.39,N
20.05946,-76.43111,307.11,0.41,0.37,2023-01-30,06:50,1,nominal,2.0NRT,289.2,3,N
18.92727,-70.35372,339.4,0.59,0.53,2023-01-30,06:50,1,nominal,2.0NRT,291.71,10.87,N
18.92837,-70.35915,302.17,0.59,0.53,2023-01-30,06:50,1,nominal,2.0NRT,287.76,10.87,N
19.98444,-76.67564,309.47,0.4,0.37,2023-01-30,06:50,1,nominal,2.0NRT,292.99,0.99,N
19.21589,-72.74072,314.6,0.41,0.45,2023-01-30,06:50,1,nominal,2.0NRT,292.38,1.86,N
18.86931,-71.05631,297.02,0.54,0.51,2023-01-30,06:50,1,nominal,2.0NRT,286.33,0.44,N
18.33157,-71.16892,338.27,0.54,0.51,2023-01-30,06:50,1,nominal,2.0NRT,291.51,8.72,N
18.33058,-71.16391,306.53,0.54,0.51,2023-01-30,06:50,1,nominal,2.0NRT,290.21,3.91,N
21.65458,-78.16963,309.25,0.38,0.36,2023-01-30,06:50,1,nominal,2.0NRT,290.83,4.6,N
