latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
35.37549,-78.10349,302.72,0.34,0.56,2022-12-25,06:20,1,nominal,2.0NRT,267.77,0.98,N
28.93839,-81.69559,299.09,0.47,0.64,2022-12-25,06:22,1,nominal,2.0NRT,270.88,1.02,N
31.1033,-83.54393,295.19,0.64,0.72,2022-12-25,06:22,1,nominal,2.0NRT,266.79,1.13,N
28.93551,-81.6948,302.9,0.48,0.64,2022-12-25,06:22,1,nominal,2.0NRT,271.64,0.72,N
21.83376,-77.94067,317.45,0.46,0.47,2022-12-25,06:24,1,nominal,2.0NRT,289.4,1.63,N
22.05005,-79.00159,297.41,0.54,0.51,2022-12-25,06:24,1,nominal,2.0NRT,274.93,0.69,N
20.90551,-77.89132,302.83,0.44,0.46,2022-12-25,06:26,1,nominal,2.0NRT,289.22,0.9,N
18.93003,-70.35275,331.01,0.41,0.37,2022-12-25,06:26,1,nominal,2.0NRT,291.91,8.6,N
18.93067,-70.35655,303.03,0.41,0.37,2022-12-25,06:26,1,nominal,2.0NRT,290.05,8.6,N
18.92667,-70.35342,330.59,0.41,0.37,2022-12-25,06:26,1,nominal,2.0NRT,295.64,8.6,N
18.92731,-70.35722,305.99,0.41,0.37,2022-12-25,06:26,1,nominal,2.0NRT,289.78,8.6,N
18.35866,-70.15597,305.53,0.42,0.37,2022-12-25,06:26,1,nominal,2.0NRT,289.76,1.08,N
18.32213,-71.27207,308.3,0.39,0.36,2022-12-25,06:26,1,nominal,2.0NRT,291.61,0.79,N
21.00815,-77.42161,298.3,0.42,0.45,2022-12-25,06:26,1,nominal,2.0NRT,277.21,0.31,N
21.01229,-77.421,304.14,0.42,0.45,2022-12-25,06:26,1,nominal,2.0NRT,276.22,0.42,N
21.03359,-77.91895,300.38,0.45,0.47,2022-12-25,06:26,1,nominal,2.0NRT,288.49,0.67,N
41.67513,-87.48396,297.38,0.44,0.38,2022-12-25,08:00,1,nominal,2.0NRT,257.96,0.47,N
41.67121,-87.46326,320.18,0.44,0.38,2022-12-25,08:00,1,nominal,2.0NRT,258.34,2.58,N
41.68259,-87.4263,297.07,0.44,0.39,2022-12-25,08:00,1,nominal,2.0NRT,259.19,0.62,N
41.6421,-87.40682,317.2,0.44,0.39,2022-12-25,08:00,1,nominal,2.0NRT,268.71,2.51,N
41.62469,-87.33502,297.89,0.45,0.39,2022-12-25,08:00,1,nominal,2.0NRT,259.6,1.01,N
41.61629,-87.34902,299.98,0.45,0.39,2022-12-25,08:00,1,nominal,2.0NRT,256.34,0.81,N
41.47984,-90.83105,326.74,0.38,0.36,2022-12-25,08:00,1,nominal,2.0NRT,258.12,7.53,N
40.69311,-91.23429,325.61,0.38,0.36,2022-12-25,08:00,1,nominal,2.0NRT,265.47,2.29,N
38.57973,-85.41226,320.94,0.4,0.44,2022-12-25,08:00,1,nominal,2.0NRT,259.1,2.66,N
42.4797,-87.88628,297.19,0.42,0.38,2022-12-25,08:00,1,nominal,2.0NRT,255.83,0.48,N
41.64233,-87.14239,326.92,0.45,0.39,2022-12-25,08:00,1,nominal,2.0NRT,264.01,4.9,N
41.63884,-87.14359,331.56,0.45,0.39,2022-12-25,08:00,1,nominal,2.0NRT,263.43,4.9,N
41.63678,-87.13303,298.96,0.45,0.39,2022-12-25,08:00,1,nominal,2.0NRT,259.14,4.6,N
41.63562,-87.14058,325.82,0.45,0.39,2022-12-25,08:00,1,nominal,2.0NRT,262.88,2.83,N
36.03553,-87.98563,317.04,0.51,0.41,2022-12-25,08:02,1,nominal,2.0NRT,264.69,1.81,N
36.59859,-91.96683,322.99,0.39,0.36,2022-12-25,08:02,1,nominal,2.0NRT,262.47,2.21,N
36.24551,-90.42413,326.33,0.41,0.37,2022-12-25,08:02,1,nominal,2.0NRT,268.59,19.86,N
34.34003,-82.82082,297.79,0.34,0.56,2022-12-25,08:02,1,nominal,2.0NRT,265.51,0.38,N
33.11961,-82.86261,296.29,0.37,0.58,2022-12-25,08:02,1,nominal,2.0NRT,266.13,0.56,N
33.35313,-84.99892,324.36,0.55,0.51,2022-12-25,08:02,1,nominal,2.0NRT,267.7,2.55,N
34.18479,-90.56197,298.66,0.43,0.38,2022-12-25,08:02,1,nominal,2.0NRT,266.45,0.83,N
35.06587,-96.77961,324.56,0.45,0.39,2022-12-25,08:02,1,nominal,2.0NRT,266.15,3.57,N
34.63244,-97.17473,306.27,0.46,0.39,2022-12-25,08:02,1,nominal,2.0NRT,266.15,1.01,N
32.80733,-89.13317,326.48,0.51,0.41,2022-12-25,08:02,1,nominal,2.0NRT,271.41,9.76,N
32.6931,-92.01976,295.62,0.4,0.37,2022-12-25,08:02,1,nominal,2.0NRT,268.96,0.42,N
33.30922,-96.15048,332.94,0.42,0.37,2022-12-25,08:02,1,nominal,2.0NRT,268.52,3.2,N
33.02078,-96.96314,300.01,0.44,0.38,2022-12-25,08:02,1,nominal,2.0NRT,268.52,1.05,N
31.25334,-88.03157,310.21,0.41,0.45,2022-12-25,08:02,1,nominal,2.0NRT,268.79,1.52,N
40.82811,-103.86899,299.35,0.4,0.6,2022-12-25,08:02,1,nominal,2.0NRT,265.75,0.59,N
38.8008,-87.2488,320.58,0.49,0.41,2022-12-25,08:02,1,nominal,2.0NRT,265.85,3.58,N
38.6939,-90.13098,332.63,0.4,0.37,2022-12-25,08:02,1,nominal,2.0NRT,264.78,7.33,N
36.74488,-84.67751,332.32,0.48,0.48,2022-12-25,08:02,1,nominal,2.0NRT,261.17,4.58,N
36.84037,-90.78691,320.85,0.4,0.37,2022-12-25,08:02,1,nominal,2.0NRT,259.63,3.32,N
32.45397,-102.16769,295.46,0.53,0.5,2022-12-25,08:05,1,nominal,2.0NRT,264.23,0.89,N
25.42248,-99.86746,305.59,0.49,0.4,2022-12-25,08:05,1,nominal,2.0NRT,270.13,1.03,N
25.60508,-100.92225,310.11,0.56,0.43,2022-12-25,08:05,1,nominal,2.0NRT,269.96,1.78,N
25.57944,-99.93751,327.91,0.49,0.41,2022-12-25,08:05,1,nominal,2.0NRT,273.53,2.36,N
25.69831,-100.30049,304.06,0.52,0.41,2022-12-25,08:05,1,nominal,2.0NRT,274.43,1.09,N
25.71726,-100.29762,323.68,0.52,0.41,2022-12-25,08:05,1,nominal,2.0NRT,273.88,4.6,N
25.72237,-100.30724,313.01,0.52,0.41,2022-12-25,08:05,1,nominal,2.0NRT,275.86,1.61,N
25.71739,-100.30063,318.17,0.52,0.41,2022-12-25,08:05,1,nominal,2.0NRT,273.24,1.68,N
25.72118,-100.30005,298.94,0.52,0.41,2022-12-25,08:05,1,nominal,2.0NRT,276.16,1.68,N
25.72181,-100.30516,308.37,0.52,0.41,2022-12-25,08:05,1,nominal,2.0NRT,276.73,1.68,N
26.85489,-101.39411,304.16,0.41,0.45,2022-12-25,08:05,1,nominal,2.0NRT,269.44,1.15,N
26.89171,-101.46051,297.55,0.41,0.45,2022-12-25,08:05,1,nominal,2.0NRT,271.61,0.98,N
27.80976,-97.45911,332.89,0.41,0.37,2022-12-25,08:05,1,nominal,2.0NRT,273.83,3.65,N
27.81436,-97.46686,302.38,0.41,0.37,2022-12-25,08:05,1,nominal,2.0NRT,271.88,0.98,N
27.81674,-97.48355,295.88,0.41,0.37,2022-12-25,08:05,1,nominal,2.0NRT,279.89,1.69,N
27.81733,-97.48773,307.63,0.41,0.37,2022-12-25,08:05,1,nominal,2.0NRT,276.34,1.36,N
27.81523,-97.42393,306.3,0.41,0.37,2022-12-25,08:05,1,nominal,2.0NRT,275.09,1.08,N
27.81685,-97.41084,298.51,0.41,0.37,2022-12-25,08:05,1,nominal,2.0NRT,273.32,0.95,N
27.8171,-97.41234,295.83,0.41,0.37,2022-12-25,08:05,1,nominal,2.0NRT,272.16,0.35,N
27.82932,-97.50006,296.59,0.41,0.37,2022-12-25,08:05,1,nominal,2.0NRT,272.32,1,N
27.83215,-97.49526,304.3,0.41,0.37,2022-12-25,08:05,1,nominal,2.0NRT,274.33,1,N
27.82191,-97.19946,317.85,0.41,0.37,2022-12-25,08:05,1,nominal,2.0NRT,277.38,1.39,N
27.82308,-97.20767,328.42,0.41,0.37,2022-12-25,08:05,1,nominal,2.0NRT,274.97,3.18,N
27.82809,-97.19411,325.14,0.41,0.37,2022-12-25,08:05,1,nominal,2.0NRT,269.99,2.04,N
27.8913,-97.27137,309.39,0.41,0.37,2022-12-25,08:05,1,nominal,2.0NRT,274.86,1.61,N
27.93019,-97.32067,301.33,0.41,0.37,2022-12-25,08:05,1,nominal,2.0NRT,271.38,0.81,N
28.2313,-99.33941,297.71,0.49,0.41,2022-12-25,08:05,1,nominal,2.0NRT,269.28,0.6,N
28.23502,-99.33881,296.91,0.49,0.41,2022-12-25,08:05,1,nominal,2.0NRT,269.44,0.6,N
28.37934,-100.09602,296.06,0.54,0.42,2022-12-25,08:05,1,nominal,2.0NRT,269.04,0.87,N
28.33895,-99.55373,301.96,0.51,0.41,2022-12-25,08:05,1,nominal,2.0NRT,270.87,0.91,N
19.67228,-103.37878,306.63,0.44,0.46,2022-12-25,08:05,1,nominal,2.0NRT,285.85,1.07,N
19.67642,-103.37751,311.88,0.44,0.46,2022-12-25,08:05,1,nominal,2.0NRT,285.93,1.25,N
20.27025,-101.79463,300.71,0.54,0.42,2022-12-25,08:05,1,nominal,2.0NRT,282.6,0.93,N
20.52999,-103.43772,295.69,0.45,0.47,2022-12-25,08:05,1,nominal,2.0NRT,280.45,0.58,N
