latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
40.63755,-74.22665,296.6,0.42,0.61,2023-01-27,05:59,1,nominal,2.0NRT,275.01,1,N
34.37391,-79.88917,298.06,0.78,0.78,2023-01-27,06:01,1,nominal,2.0NRT,274.52,1.96,N
34.37609,-79.8943,314.83,0.78,0.78,2023-01-27,06:01,1,nominal,2.0NRT,274.44,2.99,N
36.35635,-76.81183,311.19,0.54,0.68,2023-01-27,06:01,1,nominal,2.0NRT,275.2,2.64,N
36.36005,-76.80698,298.66,0.54,0.68,2023-01-27,06:01,1,nominal,2.0NRT,275.45,1.65,N
39.5907,-75.63908,295.6,0.49,0.65,2023-01-27,06:01,1,nominal,2.0NRT,274,0.87,N
18.00886,-66.65604,301.51,0.39,0.36,2023-01-27,06:05,1,nominal,2.0NRT,290.61,0.38,N
18.29999,-70.13073,305.4,0.43,0.38,2023-01-27,06:05,1,nominal,2.0NRT,292.3,0.78,N
18.8878,-68.66279,307.19,0.4,0.37,2023-01-27,06:05,1,nominal,2.0NRT,293.16,0.91,N
18.76205,-69.00567,311.87,0.4,0.37,2023-01-27,06:05,1,nominal,2.0NRT,289.66,1.06,N
18.75027,-68.99593,304.53,0.4,0.37,2023-01-27,06:05,1,nominal,2.0NRT,291.11,0.4,N
18.93116,-70.3531,303.78,0.45,0.39,2023-01-27,06:05,1,nominal,2.0NRT,287.39,1.08,N
18.92761,-70.35355,338.5,0.45,0.39,2023-01-27,06:05,1,nominal,2.0NRT,296.62,10.93,N
18.9282,-70.35784,301.54,0.45,0.39,2023-01-27,06:05,1,nominal,2.0NRT,290.38,10.93,N
21.92672,-78.03756,317.13,0.47,0.64,2023-01-27,06:05,1,nominal,2.0NRT,290.45,1.02,N
21.92881,-78.03799,310.45,0.47,0.64,2023-01-27,06:05,1,nominal,2.0NRT,289.95,1.3,N
21.9284,-78.03336,306.3,0.47,0.64,2023-01-27,06:05,1,nominal,2.0NRT,290.37,1.3,N
21.58757,-77.96454,303.37,0.46,0.64,2023-01-27,06:05,1,nominal,2.0NRT,291.54,0.75,N
21.58622,-78.01536,301.43,0.47,0.64,2023-01-27,06:05,1,nominal,2.0NRT,291.02,1.07,N
21.57036,-77.97115,323.85,0.46,0.64,2023-01-27,06:05,1,nominal,2.0NRT,291.22,3.5,N
21.56996,-77.96667,321.47,0.46,0.64,2023-01-27,06:05,1,nominal,2.0NRT,291.36,2.71,N
21.54046,-77.90153,300.78,0.46,0.63,2023-01-27,06:05,1,nominal,2.0NRT,290.56,0.69,N
21.4948,-77.92033,317.76,0.46,0.63,2023-01-27,06:05,1,nominal,2.0NRT,289.41,1.35,N
21.4954,-77.91892,313.63,0.46,0.63,2023-01-27,06:05,1,nominal,2.0NRT,289.67,1.55,N
21.48501,-77.87053,308.23,0.46,0.63,2023-01-27,06:05,1,nominal,2.0NRT,290.58,1.71,N
21.34241,-78.3262,316.69,0.49,0.65,2023-01-27,06:05,1,nominal,2.0NRT,289.61,2.01,N
21.34159,-78.31671,305.19,0.49,0.65,2023-01-27,06:05,1,nominal,2.0NRT,288.67,2.04,N
21.33998,-78.32946,307.55,0.49,0.65,2023-01-27,06:05,1,nominal,2.0NRT,289.17,1.55,N
21.33954,-78.32468,311.92,0.49,0.65,2023-01-27,06:05,1,nominal,2.0NRT,289.88,1.55,N
21.3391,-78.31993,308,0.49,0.65,2023-01-27,06:05,1,nominal,2.0NRT,289.42,1.96,N
21.2002,-77.90518,307.79,0.45,0.63,2023-01-27,06:05,1,nominal,2.0NRT,290.89,0.77,N
20.66995,-76.92688,303.39,0.39,0.59,2023-01-27,06:05,1,nominal,2.0NRT,290.3,0.62,N
20.51155,-75.5887,332.59,0.63,0.54,2023-01-27,06:05,1,nominal,2.0NRT,292.39,4.1,N
20.50673,-75.59082,311.17,0.63,0.54,2023-01-27,06:05,1,nominal,2.0NRT,292.12,4.1,N
20.50606,-75.5846,313.47,0.63,0.54,2023-01-27,06:05,1,nominal,2.0NRT,291.8,4.1,N
20.57738,-76.30347,300.11,0.35,0.57,2023-01-27,06:05,1,nominal,2.0NRT,288.92,0.63,N
20.20119,-75.81904,308.08,0.32,0.55,2023-01-27,06:05,1,nominal,2.0NRT,288.48,1.32,N
20.04639,-76.72883,301.2,0.37,0.58,2023-01-27,06:05,1,nominal,2.0NRT,287.52,0.48,N
19.44891,-71.92941,305.2,0.54,0.42,2023-01-27,06:05,1,nominal,2.0NRT,290.3,1.02,N
18.89038,-68.66257,305.65,0.4,0.37,2023-01-27,06:05,1,nominal,2.0NRT,293.01,0.73,N
18.8839,-68.65961,305.26,0.39,0.37,2023-01-27,06:05,1,nominal,2.0NRT,292.9,0.89,N
18.43336,-78.11424,312.52,0.44,0.62,2023-01-27,06:07,1,nominal,2.0NRT,291.92,0.82,N
17.9738,-76.44821,303.28,0.33,0.56,2023-01-27,06:07,1,nominal,2.0NRT,292.92,0.86,N
46.52187,-84.37692,343.74,0.38,0.36,2023-01-27,07:39,1,nominal,2.0NRT,270.08,8.51,N
40.6369,-74.22349,302.53,0.38,0.59,2023-01-27,07:39,1,nominal,2.0NRT,277.21,1.23,N
46.51446,-84.39496,328.57,0.38,0.36,2023-01-27,07:39,1,nominal,2.0NRT,256.82,4.48,N
46.52097,-84.39278,325.08,0.38,0.36,2023-01-27,07:39,1,nominal,2.0NRT,261.57,5.53,N
38.74009,-86.45826,305.69,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,270.82,1.2,N
38.99196,-87.71999,303,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,266.41,0.89,N
38.62156,-83.66953,310.56,0.45,0.39,2023-01-27,07:41,1,nominal,2.0NRT,273.59,1.59,N
38.83412,-84.23899,317.72,0.43,0.38,2023-01-27,07:41,1,nominal,2.0NRT,273.83,1.28,N
38.83753,-84.23792,297.27,0.43,0.38,2023-01-27,07:41,1,nominal,2.0NRT,273.75,1.28,N
39.47094,-84.38438,305.83,0.42,0.38,2023-01-27,07:41,1,nominal,2.0NRT,269.51,1.1,N
41.64046,-87.41061,324.49,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,265.29,2.26,N
41.67241,-87.46466,302.19,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,266.09,0.84,N
41.6381,-87.14319,330.15,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,269.13,1.69,N
41.67092,-87.4314,299.88,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,265.02,0.86,N
41.6749,-87.43517,306.29,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,267.55,0.86,N
41.63482,-87.14407,296.47,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,265.93,1.69,N
41.67819,-87.4343,327.69,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,266.58,3.46,N
41.63602,-87.12943,296.91,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,266.48,0.69,N
40.15292,-74.77082,314.65,0.37,0.58,2023-01-27,07:41,1,nominal,2.0NRT,271.78,1.1,N
42.48154,-87.88379,299.36,0.4,0.37,2023-01-27,07:41,1,nominal,2.0NRT,257.29,0.55,N
39.5874,-75.63477,299.28,0.34,0.56,2023-01-27,07:41,1,nominal,2.0NRT,278.11,1.07,N
41.64467,-87.14144,335.79,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,269.49,3.2,N
41.64138,-87.14232,325.73,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,265.21,3.2,N
41.64,-87.13313,320.59,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,267.97,3.1,N
41.68272,-87.41869,298.94,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,270.41,0.84,N
41.64069,-87.13773,301.79,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,268.6,3.1,N
35.97913,-83.95825,305.45,0.48,0.4,2023-01-27,07:41,1,nominal,2.0NRT,270.87,1.07,N
35.34204,-80.8279,327.88,0.46,0.47,2023-01-27,07:41,1,nominal,2.0NRT,272.07,2.89,N
37.60172,-94.11527,310.73,0.4,0.44,2023-01-27,07:41,1,nominal,2.0NRT,271.51,1.14,N
37.92448,-97.50372,296.21,0.61,0.53,2023-01-27,07:41,1,nominal,2.0NRT,270.45,2.42,N
35.50298,-80.33009,297.86,0.49,0.48,2023-01-27,07:41,1,nominal,2.0NRT,272.66,0.9,N
36.8772,-85.65805,301.03,0.41,0.37,2023-01-27,07:41,1,nominal,2.0NRT,267.05,0.67,N
36.87059,-85.16669,304.52,0.42,0.38,2023-01-27,07:41,1,nominal,2.0NRT,270.15,1.3,N
37.96891,-90.0787,315.44,0.41,0.37,2023-01-27,07:41,1,nominal,2.0NRT,271.38,1.97,N
37.97447,-90.0679,310.47,0.41,0.37,2023-01-27,07:41,1,nominal,2.0NRT,272.31,1.59,N
38.0077,-90.08002,314.78,0.42,0.37,2023-01-27,07:41,1,nominal,2.0NRT,269.93,1.66,N
37.73832,-88.03453,305.93,0.38,0.36,2023-01-27,07:41,1,nominal,2.0NRT,269.33,1.04,N
38.63215,-93.87351,304.83,0.4,0.44,2023-01-27,07:41,1,nominal,2.0NRT,268,1.2,N
38.69705,-90.13322,311,0.42,0.38,2023-01-27,07:41,1,nominal,2.0NRT,275.7,1.84,N
38.82013,-90.01369,298.5,0.42,0.38,2023-01-27,07:41,1,nominal,2.0NRT,266.86,0.79,N
38.83743,-90.06441,297.17,0.42,0.38,2023-01-27,07:41,1,nominal,2.0NRT,273.05,1.22,N
38.69426,-90.13879,320.73,0.42,0.38,2023-01-27,07:41,1,nominal,2.0NRT,269.97,1.65,N
41.18195,-87.85687,322.47,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,264.77,2.16,N
41.62156,-87.32929,337.7,0.39,0.36,2023-01-27,07:41,1,nominal,2.0NRT,269.25,2.87,N
