latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
39.5887,-75.63672,300.38,0.33,0.55,2023-02-22,06:14,1,nominal,2.0NRT,278.8,1.52,N
40.896,-77.71149,304.27,0.44,0.62,2023-02-22,06:14,1,nominal,2.0NRT,269.14,0.92,N
40.89523,-77.71095,308.58,0.44,0.62,2023-02-22,06:14,1,nominal,2.0NRT,269.93,1.33,N
39.94024,-76.81552,311.88,0.38,0.59,2023-02-22,06:14,1,nominal,2.0NRT,274.4,1.43,N
21.86987,-78.67322,301.08,0.32,0.55,2023-02-22,06:18,1,nominal,2.0NRT,290.33,0.46,N
21.92756,-78.63768,300.4,0.32,0.55,2023-02-22,06:18,1,nominal,2.0NRT,289.9,0.34,N
21.95339,-77.97295,316.46,0.58,0.52,2023-02-22,06:18,1,nominal,2.0NRT,292.81,3.32,N
22.52256,-83.09031,300.07,0.63,0.72,2023-02-22,06:18,1,nominal,2.0NRT,289.88,1.73,N
22.52637,-83.08837,306.83,0.63,0.72,2023-02-22,06:18,1,nominal,2.0NRT,290.43,1.29,N
22.34705,-80.21787,315.98,0.41,0.61,2023-02-22,06:18,1,nominal,2.0NRT,291.66,1.43,N
21.05612,-78.11788,309.76,0.58,0.52,2023-02-22,06:18,1,nominal,2.0NRT,291.65,1.52,N
21.20037,-78.42831,315.19,0.61,0.54,2023-02-22,06:18,1,nominal,2.0NRT,291.42,2.12,N
21.20406,-78.41584,310.46,0.61,0.54,2023-02-22,06:18,1,nominal,2.0NRT,291.23,1.67,N
21.48408,-78.128,301.83,0.59,0.53,2023-02-22,06:18,1,nominal,2.0NRT,291.71,0.78,N
21.62196,-79.01957,305.65,0.34,0.56,2023-02-22,06:18,1,nominal,2.0NRT,291.02,5.31,N
21.62229,-79.02285,367,0.34,0.56,2023-02-22,06:18,1,high,2.0NRT,294.27,11.1,N
24.8849,-77.99612,304.97,0.32,0.54,2023-02-22,06:18,1,nominal,2.0NRT,290.97,0.66,N
24.8846,-77.99295,302.23,0.32,0.54,2023-02-22,06:18,1,nominal,2.0NRT,291.2,0.43,N
24.8843,-77.98977,303.35,0.32,0.54,2023-02-22,06:18,1,nominal,2.0NRT,291.01,0.43,N
24.88385,-77.98502,304.05,0.64,0.54,2023-02-22,06:18,1,nominal,2.0NRT,290.95,1.67,N
21.62263,-79.02613,350.46,0.34,0.56,2023-02-22,06:18,1,nominal,2.0NRT,293.11,11.1,N
21.62296,-79.0294,367,0.34,0.56,2023-02-22,06:18,1,high,2.0NRT,294.08,8.3,N
21.62329,-79.03268,335.69,0.34,0.56,2023-02-22,06:18,1,nominal,2.0NRT,291.88,8.3,N
21.62677,-79.01564,306.29,0.34,0.56,2023-02-22,06:18,1,nominal,2.0NRT,291.03,2.85,N
21.62778,-79.02549,316.98,0.34,0.56,2023-02-22,06:18,1,nominal,2.0NRT,291.57,2.03,N
22.4254,-80.38831,306.43,0.42,0.61,2023-02-22,06:18,1,nominal,2.0NRT,291.05,0.91,N
21.62811,-79.02878,302.7,0.34,0.56,2023-02-22,06:18,1,nominal,2.0NRT,291.4,1.09,N
21.62711,-79.01892,343.16,0.34,0.56,2023-02-22,06:18,1,nominal,2.0NRT,291.57,2.85,N
21.62744,-79.02221,329.07,0.34,0.56,2023-02-22,06:18,1,nominal,2.0NRT,291.72,2.03,N
21.63293,-79.02484,319.3,0.34,0.56,2023-02-22,06:18,1,nominal,2.0NRT,291.16,2.03,N
21.63259,-79.02156,325.17,0.34,0.56,2023-02-22,06:18,1,nominal,2.0NRT,291.76,2.03,N
22.86464,-80.41709,314.39,0.43,0.62,2023-02-22,06:18,1,nominal,2.0NRT,290.91,1.65,N
22.86266,-80.41506,323.73,0.43,0.62,2023-02-22,06:18,1,nominal,2.0NRT,291.41,1.84,N
23.0136,-82.74502,304.4,0.61,0.71,2023-02-22,06:18,1,nominal,2.0NRT,291.73,2.68,N
22.85512,-80.78616,302.35,0.46,0.63,2023-02-22,06:18,1,nominal,2.0NRT,289.99,0.84,N
22.7189,-79.83206,310.21,0.39,0.6,2023-02-22,06:18,1,nominal,2.0NRT,289.64,0.83,N
22.56679,-80.37276,322.79,0.43,0.62,2023-02-22,06:18,1,nominal,2.0NRT,290.9,2.96,N
22.67745,-82.98905,303.25,0.63,0.72,2023-02-22,06:18,1,nominal,2.0NRT,289.71,1.22,N
22.67081,-82.98969,313.48,0.63,0.72,2023-02-22,06:18,1,nominal,2.0NRT,290.58,2.5,N
22.42789,-80.38804,310.6,0.42,0.61,2023-02-22,06:18,1,nominal,2.0NRT,291.44,1.46,N
21.64429,-78.35558,342.36,0.61,0.54,2023-02-22,06:18,1,nominal,2.0NRT,292.49,9.14,N
22.67349,-82.99239,303.5,0.63,0.72,2023-02-22,06:18,1,nominal,2.0NRT,289.88,2.01,N
21.6778,-78.2493,311.28,0.6,0.53,2023-02-22,06:18,1,nominal,2.0NRT,292.15,1.73,N
22.67301,-82.98622,312.87,0.63,0.72,2023-02-22,06:18,1,nominal,2.0NRT,290.36,2.01,N
21.91203,-80.21497,309.94,0.41,0.61,2023-02-22,06:18,1,nominal,2.0NRT,291.74,1,N
21.91765,-80.21478,304.83,0.41,0.61,2023-02-22,06:18,1,nominal,2.0NRT,291.66,1,N
21.83482,-78.71937,320.75,0.33,0.55,2023-02-22,06:18,1,nominal,2.0NRT,291.32,1.42,N
18.34664,-71.99324,326.91,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,284.82,4.24,N
18.34608,-71.98956,350.33,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,290.7,4.24,N
18.34832,-72.00442,298.55,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,283.84,0.72,N
18.32225,-71.9675,336.95,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,286.31,6.19,N
18.33118,-72.0271,303.11,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,284.26,0.78,N
18.1783,-71.0916,305.09,0.38,0.36,2023-02-22,06:20,1,nominal,2.0NRT,292.8,0.5,N
18.28025,-71.91146,299.77,0.39,0.37,2023-02-22,06:20,1,nominal,2.0NRT,287.51,0.58,N
18.38789,-74.03407,320.28,0.47,0.39,2023-02-22,06:20,1,nominal,2.0NRT,284.52,1.49,N
18.38984,-74.04851,299.67,0.47,0.39,2023-02-22,06:20,1,nominal,2.0NRT,284.55,0.53,N
18.38854,-74.03887,308.82,0.47,0.39,2023-02-22,06:20,1,nominal,2.0NRT,285.84,6.93,N
18.38556,-74.04401,335.32,0.47,0.39,2023-02-22,06:20,1,nominal,2.0NRT,288.2,6.93,N
18.38493,-74.03944,319.64,0.47,0.39,2023-02-22,06:20,1,nominal,2.0NRT,295.42,6.93,N
18.38399,-74.04292,343.64,0.47,0.39,2023-02-22,06:20,1,nominal,2.0NRT,295,13.92,N
18.43091,-78.19834,305.74,0.55,0.51,2023-02-22,06:20,1,nominal,2.0NRT,291.41,0.99,N
20.53756,-75.64372,310.19,0.4,0.44,2023-02-22,06:20,1,nominal,2.0NRT,291.44,0.86,N
20.53453,-75.7502,326.01,0.41,0.45,2023-02-22,06:20,1,nominal,2.0NRT,290.4,1.54,N
20.53041,-75.75065,303.33,0.41,0.45,2023-02-22,06:20,1,nominal,2.0NRT,288.35,1.54,N
20.52993,-75.74686,300.04,0.41,0.45,2023-02-22,06:20,1,nominal,2.0NRT,288.79,1.71,N
20.78316,-77.89066,304.6,0.56,0.51,2023-02-22,06:20,1,nominal,2.0NRT,292.04,0.82,N
20.47891,-75.70531,304.11,0.4,0.45,2023-02-22,06:20,1,nominal,2.0NRT,291.04,0.46,N
20.50487,-75.98481,300.65,0.42,0.45,2023-02-22,06:20,1,nominal,2.0NRT,290.02,0.41,N
20.48427,-75.8161,303.76,0.41,0.45,2023-02-22,06:20,1,nominal,2.0NRT,289.87,1.1,N
20.50218,-75.99751,304.87,0.42,0.45,2023-02-22,06:20,1,nominal,2.0NRT,290.14,1.22,N
20.49851,-76.00215,330.56,0.42,0.45,2023-02-22,06:20,1,nominal,2.0NRT,291.31,3.62,N
20.47515,-75.81002,303.93,0.41,0.45,2023-02-22,06:20,1,nominal,2.0NRT,289.35,0.95,N
20.52727,-75.75883,303.2,0.41,0.45,2023-02-22,06:20,1,nominal,2.0NRT,288.42,0.76,N
20.47471,-75.80644,306.77,0.41,0.45,2023-02-22,06:20,1,nominal,2.0NRT,289.82,0.95,N
20.46652,-75.80782,300.94,0.41,0.45,2023-02-22,06:20,1,nominal,2.0NRT,289.14,0.85,N
20.46288,-75.81228,302.5,0.41,0.45,2023-02-22,06:20,1,nominal,2.0NRT,290.48,0.85,N
20.46151,-75.80108,310.51,0.41,0.45,2023-02-22,06:20,1,nominal,2.0NRT,290.91,2.07,N
20.45923,-75.8167,312.06,0.41,0.45,2023-02-22,06:20,1,nominal,2.0NRT,290.99,1.34,N
20.45878,-75.81303,307.25,0.41,0.45,2023-02-22,06:20,1,nominal,2.0NRT,291.62,1.06,N
20.45469,-75.81379,306.96,0.41,0.45,2023-02-22,06:20,1,nominal,2.0NRT,290.56,1.06,N
20.45423,-75.80995,301.06,0.41,0.45,2023-02-22,06:20,1,nominal,2.0NRT,289.82,1.06,N
20.21516,-75.00954,304.25,0.55,0.43,2023-02-22,06:20,1,nominal,2.0NRT,290.86,0.96,N
20.0114,-75.7067,308.98,0.4,0.44,2023-02-22,06:20,1,nominal,2.0NRT,292.7,0.66,N
20.00739,-75.7077,327.61,0.4,0.44,2023-02-22,06:20,1,nominal,2.0NRT,292.9,2.16,N
20.00716,-75.70678,305.89,0.4,0.44,2023-02-22,06:20,1,nominal,2.0NRT,292.33,0.92,N
20.06746,-77.12315,306.5,0.49,0.48,2023-02-22,06:20,1,nominal,2.0NRT,292.29,0.91,N
20.06907,-77.12572,309.27,0.49,0.48,2023-02-22,06:20,1,nominal,2.0NRT,292.52,1.2,N
19.26186,-72.19082,311.63,0.41,0.37,2023-02-22,06:20,1,nominal,2.0NRT,290.62,1.1,N
18.74192,-68.99068,300.59,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,289.34,0.5,N
19.28915,-72.51897,328.92,0.41,0.37,2023-02-22,06:20,1,nominal,2.0NRT,291.96,2.37,N
19.28971,-72.52283,316.94,0.41,0.37,2023-02-22,06:20,1,nominal,2.0NRT,291.93,1.5,N
18.01436,-66.09655,325.97,0.54,0.42,2023-02-22,06:20,1,nominal,2.0NRT,291.92,2.98,N
18.5238,-69.50542,305.23,0.39,0.36,2023-02-22,06:20,1,nominal,2.0NRT,288.33,0.86,N
17.98057,-67.18488,330.83,0.48,0.4,2023-02-22,06:20,1,nominal,2.0NRT,291.22,4.41,N
18.3555,-71.9613,324.49,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,283.11,2.4,N
18.3634,-72.01377,297.93,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,285.26,1.67,N
18.35884,-71.98349,298.36,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,281.18,1.19,N
18.35772,-71.976,299.17,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,281.74,1.01,N
18.35947,-72.01035,333.74,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,286.49,1.67,N
18.34887,-71.94,326.72,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,283.23,2.02,N
18.36004,-72.01416,308.85,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,284.49,1.67,N
18.35889,-72.00653,314.2,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,283.24,1.33,N
18.35607,-71.98777,306.41,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,282.85,0.87,N
18.35551,-71.98401,319.17,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,283.96,1.19,N
18.35383,-71.97292,317.71,0.4,0.37,2023-02-22,06:20,1,nominal,2.0NRT,281.48,1.01,N
