latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
18.39338,-71.26535,320.82,0.49,0.4,2022-12-26,06:05,1,nominal,2.0NRT,292.44,1.9,N
18.39399,-71.26994,310.75,0.49,0.4,2022-12-26,06:05,1,nominal,2.0NRT,291.69,1.9,N
21.7453,-77.74603,307.74,0.45,0.63,2022-12-26,06:05,1,nominal,2.0NRT,287.74,1.64,N
21.44543,-78.00384,300.81,0.46,0.64,2022-12-26,06:05,1,nominal,2.0NRT,285.78,1.11,N
21.44502,-77.99932,311.61,0.46,0.64,2022-12-26,06:05,1,nominal,2.0NRT,285.45,1.11,N
21.24035,-77.94108,304.46,0.46,0.63,2022-12-26,06:05,1,nominal,2.0NRT,287.21,0.69,N
20.69357,-76.87796,307.91,0.38,0.59,2022-12-26,06:05,1,nominal,2.0NRT,282.15,2.46,N
18.92866,-70.3546,338.68,0.45,0.39,2022-12-26,06:05,1,nominal,2.0NRT,297.89,33.33,N
19.03174,-72.35528,301.36,0.57,0.43,2022-12-26,06:05,1,nominal,2.0NRT,290.75,0.8,N
18.5251,-69.32069,307.18,0.41,0.37,2022-12-26,06:05,1,nominal,2.0NRT,290.19,0.99,N
18.35887,-70.15349,309.25,0.43,0.38,2022-12-26,06:05,1,nominal,2.0NRT,292.7,1.32,N
18.39768,-71.26938,305.47,0.49,0.4,2022-12-26,06:05,1,nominal,2.0NRT,291.36,0.65,N
18.39706,-71.26479,305.24,0.49,0.4,2022-12-26,06:05,1,nominal,2.0NRT,291.95,0.65,N
39.87552,-80.70077,339.04,0.57,0.43,2022-12-26,07:41,1,nominal,2.0NRT,260.1,5.67,N
40.39452,-79.85683,321.95,0.4,0.44,2022-12-26,07:41,1,nominal,2.0NRT,264.35,2.8,N
38.50903,-82.98373,326.92,0.48,0.4,2022-12-26,07:41,1,nominal,2.0NRT,242.1,4.03,N
35.37552,-78.09828,310.12,0.32,0.55,2022-12-26,07:41,1,nominal,2.0NRT,268.51,1,N
37.79193,-96.87595,296,0.56,0.51,2022-12-26,07:41,1,nominal,2.0NRT,270.81,1.22,N
37.79118,-96.87689,295.7,0.56,0.51,2022-12-26,07:41,1,nominal,2.0NRT,270.29,1.34,N
37.30129,-95.38163,300.98,0.46,0.47,2022-12-26,07:41,1,nominal,2.0NRT,269.7,1.26,N
29.75992,-93.88078,304.8,0.48,0.4,2022-12-26,07:43,1,nominal,2.0NRT,274.31,2.37,N
32.45264,-101.36678,312.99,0.45,0.63,2022-12-26,07:43,1,nominal,2.0NRT,273.26,1.23,N
29.75865,-93.87098,305.77,0.47,0.4,2022-12-26,07:43,1,nominal,2.0NRT,271.26,1.35,N
29.75913,-95.02015,302.74,0.54,0.42,2022-12-26,07:43,1,nominal,2.0NRT,274.46,1.2,N
29.74687,-95.01641,296.49,0.54,0.42,2022-12-26,07:43,1,nominal,2.0NRT,281.71,1.05,N
29.74555,-95.00529,306.46,0.54,0.42,2022-12-26,07:43,1,nominal,2.0NRT,277.49,2.7,N
29.74489,-94.99973,299.68,0.54,0.42,2022-12-26,07:43,1,nominal,2.0NRT,280.3,2.27,N
28.57684,-87.93555,306.72,0.42,0.38,2022-12-26,07:43,1,nominal,2.0NRT,292.83,0.69,N
29.61298,-95.02803,301.82,0.54,0.42,2022-12-26,07:43,1,nominal,2.0NRT,273.59,0.99,N
29.37373,-94.92345,295.05,0.53,0.42,2022-12-26,07:43,1,nominal,2.0NRT,276.9,0.98,N
32.45454,-102.16789,312.74,0.5,0.66,2022-12-26,07:43,1,nominal,2.0NRT,269.5,2.13,N
32.44186,-101.9508,296.3,0.49,0.65,2022-12-26,07:43,1,nominal,2.0NRT,269.28,0.46,N
32.54736,-104.35034,295.95,0.67,0.74,2022-12-26,07:43,1,nominal,2.0NRT,269.72,0.83,N
32.39684,-101.40862,319.66,0.45,0.63,2022-12-26,07:43,1,nominal,2.0NRT,273.37,1.52,N
32.39138,-101.60681,300.63,0.46,0.64,2022-12-26,07:43,1,nominal,2.0NRT,268.43,1.24,N
32.3778,-101.57793,352.48,0.46,0.64,2022-12-26,07:43,1,nominal,2.0NRT,273.95,5.58,N
31.58488,-101.67828,300.71,0.46,0.64,2022-12-26,07:43,1,nominal,2.0NRT,269.86,0.67,N
32.3882,-101.85665,307.25,0.48,0.65,2022-12-26,07:43,1,nominal,2.0NRT,268.71,1.29,N
32.36251,-101.61967,367,0.46,0.64,2022-12-26,07:43,1,high,2.0NRT,274.54,5.87,N
32.39717,-102.3529,295.92,0.51,0.66,2022-12-26,07:43,1,nominal,2.0NRT,269.9,0.73,N
32.43193,-103.65047,307.93,0.61,0.71,2022-12-26,07:43,1,nominal,2.0NRT,268.82,1.13,N
32.32906,-101.98618,337.79,0.49,0.65,2022-12-26,07:43,1,nominal,2.0NRT,273.3,3.42,N
32.42698,-103.64991,308.84,0.61,0.71,2022-12-26,07:43,1,nominal,2.0NRT,270,1.51,N
32.32714,-101.98701,327.44,0.49,0.65,2022-12-26,07:43,1,nominal,2.0NRT,270.12,2.97,N
32.28761,-101.43459,295.09,0.45,0.63,2022-12-26,07:43,1,nominal,2.0NRT,272.87,0.36,N
32.3572,-103.41487,308.67,0.59,0.7,2022-12-26,07:43,1,nominal,2.0NRT,270.77,1.34,N
32.22996,-101.75845,298.49,0.47,0.64,2022-12-26,07:43,1,nominal,2.0NRT,271.94,1.43,N
32.22431,-101.76402,304.05,0.47,0.64,2022-12-26,07:43,1,nominal,2.0NRT,270.63,1.54,N
32.13921,-102.01626,297.37,0.49,0.65,2022-12-26,07:43,1,nominal,2.0NRT,271.17,0.72,N
32.15282,-103.65387,300.04,0.61,0.71,2022-12-26,07:43,1,nominal,2.0NRT,269.27,1.78,N
