latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.40444,-155.28374,367,0.34,0.56,2023-02-02,00:09,1,low,2.0NRT,332.25,107.24,D
19.4041,-155.28705,321.1,0.34,0.56,2023-02-02,00:09,1,low,2.0NRT,324.84,107.24,D
19.40955,-155.2845,367,0.34,0.56,2023-02-02,00:09,1,high,2.0NRT,314.3,107.24,D
19.4051,-155.2773,367,0.34,0.56,2023-02-02,00:09,1,high,2.0NRT,296.75,148.95,D
19.40477,-155.28053,367,0.34,0.56,2023-02-02,00:09,1,low,2.0NRT,356.18,148.95,D
20.54043,-75.99894,307.37,0.54,0.68,2023-02-02,05:54,1,nominal,2.0NRT,290.91,1.7,N
20.55741,-75.97624,307.49,0.54,0.68,2023-02-02,05:54,1,nominal,2.0NRT,289.93,2.13,N
20.5699,-75.9747,300.77,0.54,0.68,2023-02-02,05:54,1,nominal,2.0NRT,289.96,4.34,N
20.57035,-75.97987,344.7,0.54,0.68,2023-02-02,05:54,1,nominal,2.0NRT,290.75,4.34,N
20.6718,-76.96785,300.04,0.63,0.72,2023-02-02,05:54,1,nominal,2.0NRT,289.13,0.74,N
20.85791,-77.43387,314.52,0.67,0.74,2023-02-02,05:54,1,nominal,2.0NRT,290,1.95,N
20.56411,-75.98066,321.76,0.54,0.68,2023-02-02,05:54,1,nominal,2.0NRT,290.47,2.13,N
20.85932,-77.43216,308.31,0.68,0.74,2023-02-02,05:54,1,nominal,2.0NRT,289.18,2.11,N
21.5553,-78.20789,302.49,0.77,0.77,2023-02-02,05:54,1,nominal,2.0NRT,289.11,2.72,N
18.44992,-71.25967,339.79,0.5,0.49,2023-02-02,05:54,1,nominal,2.0NRT,291.73,5.47,N
18.3449,-70.12026,316.04,0.42,0.45,2023-02-02,05:54,1,nominal,2.0NRT,291.11,1.08,N
18.34908,-70.11979,303.71,0.42,0.45,2023-02-02,05:54,1,nominal,2.0NRT,291.21,0.4,N
18.44921,-69.32312,304.51,0.57,0.43,2023-02-02,05:54,1,nominal,2.0NRT,290.35,1.67,N
18.67808,-70.88666,309.77,0.48,0.48,2023-02-02,05:54,1,nominal,2.0NRT,288.28,1.22,N
19.09736,-72.56654,305.36,0.62,0.54,2023-02-02,05:54,1,nominal,2.0NRT,290.25,1.24,N
19.09924,-72.5703,301.23,0.62,0.54,2023-02-02,05:54,1,nominal,2.0NRT,290.16,0.52,N
19.16332,-72.47018,301.26,0.61,0.53,2023-02-02,05:54,1,nominal,2.0NRT,290.76,0.62,N
20.30412,-76.1113,299.67,0.55,0.68,2023-02-02,05:54,1,nominal,2.0NRT,288.86,0.53,N
20.53954,-75.98845,302.89,0.54,0.68,2023-02-02,05:54,1,nominal,2.0NRT,290.96,1.19,N
20.15856,-77.23209,303.79,0.64,0.72,2023-02-02,05:54,1,nominal,2.0NRT,290.51,0.78,N
20.04749,-77.48536,315.46,0.67,0.73,2023-02-02,05:54,1,nominal,2.0NRT,289.69,3,N
20.04696,-77.47874,304.61,0.67,0.73,2023-02-02,05:54,1,nominal,2.0NRT,289.92,2.4,N
20.53998,-75.9937,308.83,0.54,0.68,2023-02-02,05:54,1,nominal,2.0NRT,291.07,1.19,N
41.67296,-87.42931,301.06,0.46,0.39,2023-02-02,07:28,1,nominal,2.0NRT,265.5,0.4,N
41.67201,-87.45237,316.36,0.47,0.39,2023-02-02,07:28,1,nominal,2.0NRT,269.04,2.2,N
41.63355,-87.13326,312.14,0.45,0.39,2023-02-02,07:28,1,nominal,2.0NRT,266.5,1.36,N
41.64084,-87.40769,320.89,0.46,0.39,2023-02-02,07:28,1,nominal,2.0NRT,269.94,3.16,N
41.62445,-87.33173,317.92,0.46,0.39,2023-02-02,07:28,1,nominal,2.0NRT,267.92,1.88,N
41.62086,-87.33248,319.67,0.46,0.39,2023-02-02,07:28,1,nominal,2.0NRT,270.08,1.88,N
41.61727,-87.33325,307.75,0.46,0.39,2023-02-02,07:28,1,nominal,2.0NRT,266.95,1.5,N
41.61662,-87.32773,317.25,0.46,0.39,2023-02-02,07:28,1,nominal,2.0NRT,270.85,2.75,N
41.18082,-87.86078,324.75,0.48,0.4,2023-02-02,07:28,1,nominal,2.0NRT,264.87,1.93,N
42.80995,-80.09715,296.55,0.41,0.37,2023-02-02,07:28,1,nominal,2.0NRT,265.73,1.23,N
42.80904,-80.0922,299.22,0.41,0.37,2023-02-02,07:28,1,nominal,2.0NRT,265.05,1.23,N
42.80659,-80.09827,320.08,0.41,0.37,2023-02-02,07:28,1,nominal,2.0NRT,267.96,3.28,N
42.80362,-80.10115,305.4,0.41,0.37,2023-02-02,07:28,1,nominal,2.0NRT,266.3,1.68,N
41.75272,-81.28393,301.75,0.4,0.37,2023-02-02,07:28,1,nominal,2.0NRT,265.96,0.94,N
41.56672,-84.04523,338.76,0.39,0.36,2023-02-02,07:28,1,nominal,2.0NRT,266.79,4.94,N
41.36832,-84.92052,331.02,0.4,0.37,2023-02-02,07:28,1,nominal,2.0NRT,268.33,3.82,N
41.68377,-87.42701,296.15,0.46,0.39,2023-02-02,07:28,1,nominal,2.0NRT,268.39,0.77,N
41.68311,-87.42142,298.06,0.46,0.39,2023-02-02,07:28,1,nominal,2.0NRT,270.84,0.77,N
41.68083,-87.43335,297.45,0.47,0.39,2023-02-02,07:28,1,nominal,2.0NRT,265.44,2.44,N
41.64557,-87.14185,299.2,0.45,0.39,2023-02-02,07:28,1,nominal,2.0NRT,267.73,2.53,N
41.67723,-87.43412,331.76,0.47,0.39,2023-02-02,07:28,1,nominal,2.0NRT,269.34,2.44,N
41.642,-87.14262,329.87,0.45,0.39,2023-02-02,07:28,1,nominal,2.0NRT,268.66,2.53,N
41.64134,-87.13717,298.56,0.45,0.39,2023-02-02,07:28,1,nominal,2.0NRT,271.17,2.53,N
41.64067,-87.13173,318.38,0.45,0.39,2023-02-02,07:28,1,nominal,2.0NRT,268.44,1.85,N
41.63844,-87.14338,333.08,0.45,0.39,2023-02-02,07:28,1,nominal,2.0NRT,272.74,6.83,N
41.63711,-87.13249,296.02,0.45,0.39,2023-02-02,07:28,1,nominal,2.0NRT,266.7,1.36,N
39.35985,-90.97555,318.52,0.42,0.45,2023-02-02,07:30,1,nominal,2.0NRT,267.97,1.77,N
38.68667,-93.14676,305.78,0.53,0.5,2023-02-02,07:30,1,nominal,2.0NRT,265.71,1.4,N
26.64398,-82.01984,312.39,0.39,0.44,2023-02-02,07:33,1,nominal,2.0NRT,289.99,1.26,N
28.0802,-89.98399,311.26,0.43,0.38,2023-02-02,07:33,1,nominal,2.0NRT,291.88,0.78,N
27.56244,-82.39718,299.43,0.54,0.42,2023-02-02,07:33,1,nominal,2.0NRT,288.31,1.05,N
29.10854,-87.94378,321.07,0.39,0.36,2023-02-02,07:33,1,nominal,2.0NRT,292.75,1.48,N
28.64648,-82.16322,303.77,0.54,0.42,2023-02-02,07:33,1,nominal,2.0NRT,286.98,0.81,N
28.64752,-82.16859,297.25,0.54,0.42,2023-02-02,07:33,1,nominal,2.0NRT,286.25,0.75,N
29.39907,-82.86085,296.85,0.48,0.4,2023-02-02,07:33,1,nominal,2.0NRT,285.94,0.56,N
29.63945,-82.64809,297.13,0.49,0.4,2023-02-02,07:33,1,nominal,2.0NRT,286.78,0.65,N
29.63793,-82.64643,299.26,0.49,0.4,2023-02-02,07:33,1,nominal,2.0NRT,286.82,0.59,N
29.8822,-82.91624,298.81,0.47,0.4,2023-02-02,07:33,1,nominal,2.0NRT,286.25,0.48,N
30.28105,-81.97916,298.77,0.52,0.41,2023-02-02,07:33,1,nominal,2.0NRT,286.05,1.17,N
30.28097,-81.97701,299.07,0.52,0.41,2023-02-02,07:33,1,nominal,2.0NRT,284.41,0.46,N
31.33952,-81.97465,296.29,0.5,0.41,2023-02-02,07:33,1,nominal,2.0NRT,281.59,0.51,N
31.34318,-81.97369,315.54,0.5,0.41,2023-02-02,07:33,1,nominal,2.0NRT,284.34,1.77,N
31.82495,-83.88629,325.84,0.42,0.37,2023-02-02,07:33,1,nominal,2.0NRT,285.08,2.4,N
26.64001,-82.02081,311.94,0.39,0.44,2023-02-02,07:33,1,nominal,2.0NRT,289.79,1.26,N
20.85174,-77.43368,322.47,0.49,0.65,2023-02-02,07:35,1,nominal,2.0NRT,290.04,2.45,N
20.86066,-77.43384,307.03,0.49,0.65,2023-02-02,07:35,1,nominal,2.0NRT,289.9,3.01,N
20.85375,-77.43069,338.04,0.49,0.65,2023-02-02,07:35,1,nominal,2.0NRT,290.73,5.6,N
20.8548,-77.4353,310.12,0.49,0.65,2023-02-02,07:35,1,nominal,2.0NRT,289.76,4.31,N
20.50584,-75.92355,309.37,0.63,0.72,2023-02-02,07:35,1,nominal,2.0NRT,290.25,1.31,N
20.67017,-76.96133,303.19,0.53,0.67,2023-02-02,07:35,1,nominal,2.0NRT,290.28,1.11,N
20.68056,-77.1146,308.8,0.52,0.67,2023-02-02,07:35,1,nominal,2.0NRT,290.37,1.81,N
20.67942,-77.10976,315.95,0.52,0.67,2023-02-02,07:35,1,nominal,2.0NRT,290.81,1.81,N
20.6783,-77.11089,325.17,0.52,0.67,2023-02-02,07:35,1,nominal,2.0NRT,291.12,3.33,N
