latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
42.652624,-73.989891,014,030,3847,5866,2023-01-28,15:39,L9,low,D
42.91769,-74.23956,014,030,3156,4892,2023-01-28,15:39,L9,high,D
42.788602,-74.381995,014,030,2772,5373,2023-01-28,15:39,L9,high,D
42.519119,-74.68195,014,030,1958,6375,2023-01-28,15:39,L9,high,D
42.519389,-74.681948,014,030,1958,6374,2023-01-28,15:39,L9,high,D
42.51912,-74.682315,014,030,1957,6375,2023-01-28,15:39,L9,high,D
42.51939,-74.682314,014,030,1957,6374,2023-01-28,15:39,L9,high,D
41.391072,-75.725275,014,031,336,5263,2023-01-28,15:39,L9,medium,D
41.738977,-75.60904,014,031,669,3978,2023-01-28,15:39,L9,medium,D
41.435577,-75.598655,014,031,690,5101,2023-01-28,15:39,L9,medium,D
41.435579,-75.598296,014,031,691,5101,2023-01-28,15:39,L9,medium,D
41.115825,-75.432438,014,031,1147,6287,2023-01-28,15:39,L9,high,D
41.024457,-75.361542,014,031,1344,6626,2023-01-28,15:39,L9,medium,D
41.538,-75.328422,014,031,1444,4726,2023-01-28,15:39,L9,high,D
41.295395,-75.307137,014,031,1500,5624,2023-01-28,15:39,L9,high,D
41.294854,-75.307134,014,031,1500,5626,2023-01-28,15:39,L9,low,D
41.726469,-75.127748,014,031,2003,4030,2023-01-28,15:39,L9,low,D
41.47402,-74.694297,014,031,3208,4963,2023-01-28,15:39,L9,high,D
41.473749,-74.694299,014,031,3208,4964,2023-01-28,15:39,L9,high,D
41.473479,-74.6943,014,031,3208,4965,2023-01-28,15:39,L9,high,D
41.473209,-74.694301,014,031,3208,4966,2023-01-28,15:39,L9,high,D
41.474289,-74.693937,014,031,3209,4962,2023-01-28,15:39,L9,high,D
41.474019,-74.693938,014,031,3209,4963,2023-01-28,15:39,L9,high,D
41.473748,-74.693939,014,031,3209,4964,2023-01-28,15:39,L9,high,D
41.473478,-74.693941,014,031,3209,4965,2023-01-28,15:39,L9,high,D
41.473208,-74.693942,014,031,3209,4966,2023-01-28,15:39,L9,medium,D
