latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
46.923055,-69.826367,012,027,2630,5899,2022-11-11,15:25,L9,low,D
46.923325,-69.826371,012,027,2630,5898,2022-11-11,15:25,L9,high,D
44.578166,-70.611694,012,029,3292,4072,2022-11-11,15:26,L9,low,D
45.63685,-68.774498,012,028,6723,5433,2022-11-11,15:26,L9,high,D
45.63658,-68.774499,012,028,6723,5434,2022-11-11,15:26,L9,high,D
45.017318,-69.0389,012,028,6035,7728,2022-11-11,15:26,L9,high,D
45.017589,-69.0389,012,028,6035,7727,2022-11-11,15:26,L9,high,D
45.017318,-69.039281,012,028,6034,7728,2022-11-11,15:26,L9,high,D
44.57789,-70.612064,012,029,3291,4073,2022-11-11,15:26,L9,high,D
45.017588,-69.039281,012,028,6034,7727,2022-11-11,15:26,L9,high,D
45.017318,-69.039662,012,028,6033,7728,2022-11-11,15:26,L9,high,D
45.017588,-69.039662,012,028,6033,7727,2022-11-11,15:26,L9,low,D
45.072676,-69.04999,012,028,6006,7523,2022-11-11,15:26,L9,low,D
45.072675,-69.050371,012,028,6005,7523,2022-11-11,15:26,L9,low,D
46.923055,-69.826367,012,028,4040,659,2022-11-11,15:26,L9,low,D
46.923325,-69.826371,012,028,4040,658,2022-11-11,15:26,L9,high,D
45.072675,-69.050371,012,029,7425,2283,2022-11-11,15:26,L9,low,D
45.017589,-69.0389,012,029,7455,2487,2022-11-11,15:26,L9,high,D
45.017318,-69.039281,012,029,7454,2488,2022-11-11,15:26,L9,high,D
45.017588,-69.039281,012,029,7454,2487,2022-11-11,15:26,L9,high,D
45.017318,-69.039662,012,029,7453,2488,2022-11-11,15:26,L9,high,D
45.017588,-69.039662,012,029,7453,2487,2022-11-11,15:26,L9,low,D
44.57816,-70.612071,012,029,3291,4072,2022-11-11,15:26,L9,high,D
44.577885,-70.612442,012,029,3290,4073,2022-11-11,15:26,L9,low,D
44.578123,-70.614716,012,029,3284,4072,2022-11-11,15:26,L9,low,D
45.017318,-69.0389,012,029,7455,2488,2022-11-11,15:26,L9,high,D
44.577896,-70.611686,012,029,3292,4073,2022-11-11,15:26,L9,high,D
43.577209,-71.421464,012,030,2480,2485,2022-11-11,15:27,L9,high,D
43.577487,-71.421104,012,030,2481,2484,2022-11-11,15:27,L9,high,D
43.577217,-71.421093,012,030,2481,2485,2022-11-11,15:27,L9,low,D
43.577479,-71.421475,012,030,2480,2484,2022-11-11,15:27,L9,high,D
43.577749,-71.421486,012,030,2480,2483,2022-11-11,15:27,L9,low,D
46.489481,-81.031337,020,027,5557,7536,2022-11-11,16:15,L8,high,D
46.489751,-81.031337,020,027,5557,7535,2022-11-11,16:15,L8,high,D
46.490021,-81.031337,020,027,5557,7534,2022-11-11,16:15,L8,low,D
46.489211,-81.031728,020,027,5556,7537,2022-11-11,16:15,L8,low,D
46.489481,-81.031728,020,027,5556,7536,2022-11-11,16:15,L8,low,D
46.489751,-81.031728,020,027,5556,7535,2022-11-11,16:15,L8,low,D
46.488942,-81.029382,020,028,7002,2308,2022-11-11,16:15,L8,low,D
46.489211,-81.029382,020,028,7002,2307,2022-11-11,16:15,L8,low,D
46.489481,-81.029382,020,028,7002,2306,2022-11-11,16:15,L8,low,D
46.489751,-81.029383,020,028,7002,2305,2022-11-11,16:15,L8,low,D
46.488671,-81.029773,020,028,7001,2309,2022-11-11,16:15,L8,low,D
46.488941,-81.029773,020,028,7001,2308,2022-11-11,16:15,L8,high,D
46.489211,-81.029773,020,028,7001,2307,2022-11-11,16:15,L8,high,D
46.489481,-81.029773,020,028,7001,2306,2022-11-11,16:15,L8,high,D
46.489751,-81.029773,020,028,7001,2305,2022-11-11,16:15,L8,high,D
46.490021,-81.029774,020,028,7001,2304,2022-11-11,16:15,L8,low,D
46.488671,-81.030164,020,028,7000,2309,2022-11-11,16:15,L8,low,D
46.488941,-81.030164,020,028,7000,2308,2022-11-11,16:15,L8,high,D
46.489211,-81.030164,020,028,7000,2307,2022-11-11,16:15,L8,high,D
46.489481,-81.030164,020,028,7000,2306,2022-11-11,16:15,L8,high,D
46.489751,-81.030164,020,028,7000,2305,2022-11-11,16:15,L8,high,D
46.490021,-81.030164,020,028,7000,2304,2022-11-11,16:15,L8,high,D
46.490291,-81.030165,020,028,7000,2303,2022-11-11,16:15,L8,low,D
46.488671,-81.030555,020,028,6999,2309,2022-11-11,16:15,L8,low,D
46.488941,-81.030555,020,028,6999,2308,2022-11-11,16:15,L8,high,D
46.489211,-81.030555,020,028,6999,2307,2022-11-11,16:15,L8,high,D
46.489481,-81.030555,020,028,6999,2306,2022-11-11,16:15,L8,high,D
46.489751,-81.030555,020,028,6999,2305,2022-11-11,16:15,L8,high,D
46.490021,-81.030555,020,028,6999,2304,2022-11-11,16:15,L8,high,D
46.490291,-81.030556,020,028,6999,2303,2022-11-11,16:15,L8,low,D
46.488671,-81.030946,020,028,6998,2309,2022-11-11,16:15,L8,low,D
46.488941,-81.030946,020,028,6998,2308,2022-11-11,16:15,L8,high,D
