latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
39.702235,-75.27406,014,032,2804,6239,2023-01-12,15:40,L9,low,D
39.702235,-75.27406,014,033,4094,959,2023-01-12,15:40,L9,low,D
39.131056,-76.06979,014,033,1795,3055,2023-01-12,15:40,L9,low,D
39.131053,-76.070137,014,033,1794,3055,2023-01-12,15:40,L9,high,D
39.702236,-75.27371,014,032,2805,6239,2023-01-12,15:40,L9,low,D
34.979104,-76.434024,014,036,4444,2575,2023-01-12,15:41,L9,high,D
34.359533,-77.716279,014,036,480,4785,2023-01-12,15:41,L9,high,D
34.359263,-77.716271,014,036,480,4786,2023-01-12,15:41,L9,high,D
34.388456,-77.716888,014,036,481,4678,2023-01-12,15:41,L9,high,D
34.388186,-77.716879,014,036,481,4679,2023-01-12,15:41,L9,low,D
34.388734,-77.716571,014,036,482,4677,2023-01-12,15:41,L9,medium,D
34.388464,-77.716562,014,036,482,4678,2023-01-12,15:41,L9,high,D
34.402254,-77.692211,014,036,558,4629,2023-01-12,15:41,L9,high,D
34.563379,-77.410363,014,036,1436,4055,2023-01-12,15:41,L9,high,D
34.563109,-77.410355,014,036,1436,4056,2023-01-12,15:41,L9,high,D
35.034211,-77.271221,014,036,1901,2324,2023-01-12,15:41,L9,high,D
35.03394,-77.271213,014,036,1901,2325,2023-01-12,15:41,L9,high,D
35.034217,-77.270892,014,036,1902,2324,2023-01-12,15:41,L9,high,D
35.536373,-77.17082,014,036,2247,474,2023-01-12,15:41,L9,high,D
35.536379,-77.170489,014,036,2248,474,2023-01-12,15:41,L9,medium,D
34.772423,-77.13619,014,036,2291,3301,2023-01-12,15:41,L9,high,D
34.772152,-77.136183,014,036,2291,3302,2023-01-12,15:41,L9,high,D
34.772428,-77.135862,014,036,2292,3301,2023-01-12,15:41,L9,high,D
34.772158,-77.135855,014,036,2292,3302,2023-01-12,15:41,L9,high,D
35.532661,-77.121093,014,036,2397,491,2023-01-12,15:41,L9,medium,D
34.732407,-76.924497,014,036,2934,3462,2023-01-12,15:41,L9,high,D
35.513293,-76.8166,014,036,3316,581,2023-01-12,15:41,L9,high,D
35.024447,-76.750806,014,036,3483,2392,2023-01-12,15:41,L9,high,D
35.024177,-76.750801,014,036,3483,2393,2023-01-12,15:41,L9,low,D
34.78255,-76.73781,014,036,3507,3287,2023-01-12,15:41,L9,medium,D
35.446331,-76.7166,014,036,3614,834,2023-01-12,15:41,L9,medium,D
34.956628,-76.668871,014,036,3728,2647,2023-01-12,15:41,L9,low,D
34.747643,-76.641388,014,036,3799,3421,2023-01-12,15:41,L9,medium,D
34.747372,-76.641382,014,036,3799,3422,2023-01-12,15:41,L9,medium,D
34.978003,-76.435648,014,036,4439,2579,2023-01-12,15:41,L9,high,D
34.978278,-76.435324,014,036,4440,2578,2023-01-12,15:41,L9,high,D
34.978007,-76.435319,014,036,4440,2579,2023-01-12,15:41,L9,high,D
34.977737,-76.435314,014,036,4440,2580,2023-01-12,15:41,L9,high,D
34.978011,-76.43499,014,036,4441,2579,2023-01-12,15:41,L9,high,D
34.977741,-76.434986,014,036,4441,2580,2023-01-12,15:41,L9,high,D
34.359234,-77.717574,014,036,476,4786,2023-01-12,15:41,L9,medium,D
34.359511,-77.717257,014,036,477,4785,2023-01-12,15:41,L9,high,D
