latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
48.588593,-68.183581,011,026,1644,4979,2023-02-08,15:19,L9,low,D
48.588323,-68.183585,011,026,1644,4980,2023-02-08,15:19,L9,low,D
41.585889,-70.938892,011,031,880,4540,2023-02-08,15:21,L9,high,D
41.628253,-70.974013,011,031,786,4381,2023-02-08,15:21,L9,high,D
41.628523,-70.974021,011,031,786,4380,2023-02-08,15:21,L9,high,D
41.843698,-70.983876,011,031,777,3583,2023-02-08,15:21,L9,low,D
41.380542,-70.525583,011,031,2015,5323,2023-02-08,15:21,L9,high,D
41.732253,-70.053034,011,031,3348,4041,2023-02-08,15:21,L9,high,D
41.380546,-70.525224,011,031,2016,5323,2023-02-08,15:21,L9,high,D
41.692622,-70.71787,011,031,1502,4158,2023-02-08,15:21,L9,high,D
41.801603,-70.729806,011,031,1477,3754,2023-02-08,15:21,L9,high,D
41.801873,-70.729813,011,031,1477,3753,2023-02-08,15:21,L9,high,D
43.651187,-70.340419,011,030,1314,2187,2023-02-08,15:21,L9,high,D
41.759914,-70.872672,011,031,1078,3900,2023-02-08,15:21,L9,high,D
41.760184,-70.872679,011,031,1078,3899,2023-02-08,15:21,L9,low,D
41.355247,-70.728333,011,031,1448,5406,2023-02-08,15:21,L9,high,D
41.354971,-70.728684,011,031,1447,5407,2023-02-08,15:21,L9,high,D
41.355241,-70.728691,011,031,1447,5406,2023-02-08,15:21,L9,high,D
41.742533,-70.776202,011,031,1344,3970,2023-02-08,15:21,L9,low,D
41.719666,-70.804423,011,031,1264,4053,2023-02-08,15:21,L9,low,D
41.719661,-70.804783,011,031,1263,4053,2023-02-08,15:21,L9,high,D
41.801598,-70.730167,011,031,1476,3754,2023-02-08,15:21,L9,low,D
41.801868,-70.730174,011,031,1476,3753,2023-02-08,15:21,L9,high,D
41.354982,-70.727967,011,031,1449,5407,2023-02-08,15:21,L9,low,D
41.355252,-70.727974,011,031,1449,5406,2023-02-08,15:21,L9,medium,D
41.354976,-70.728325,011,031,1448,5407,2023-02-08,15:21,L9,high,D
44.232214,-80.986163,019,029,4524,5335,2023-02-08,16:09,L8,low,D
44.00236,-80.999688,019,029,4488,6186,2023-02-08,16:09,L8,high,D
44.352135,-81.013237,019,029,4452,4891,2023-02-08,16:09,L8,low,D
43.69008,-81.083447,019,029,4263,7342,2023-02-08,16:09,L8,high,D
43.690079,-81.083819,019,029,4262,7342,2023-02-08,16:09,L8,high,D
44.10433,-81.581444,019,029,2936,5803,2023-02-08,16:09,L8,high,D
40.898146,-81.39362,019,031,6112,7163,2023-02-08,16:10,L8,high,D
41.351266,-81.331068,019,031,6294,5487,2023-02-08,16:10,L8,medium,D
42.875959,-81.22523,019,030,5234,5105,2023-02-08,16:10,L8,high,D
42.992417,-81.214246,019,030,5265,4674,2023-02-08,16:10,L8,low,D
42.767395,-81.203569,019,030,5292,5507,2023-02-08,16:10,L8,high,D
42.992474,-81.181493,019,030,5354,4674,2023-02-08,16:10,L8,high,D
43.01112,-81.177867,019,030,5364,4605,2023-02-08,16:10,L8,high,D
43.020051,-81.167583,019,030,5392,4572,2023-02-08,16:10,L8,low,D
40.756396,-81.431877,019,031,6002,7687,2023-02-08,16:10,L8,high,D
40.756395,-81.432233,019,031,6001,7687,2023-02-08,16:10,L8,high,D
40.753125,-81.439319,019,031,5981,7699,2023-02-08,16:10,L8,high,D
