latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
38.867796,-82.862869,019,033,4530,4112,2023-01-23,16:11,L8,low,D
34.072805,-83.747395,019,036,5653,5767,2023-01-23,16:12,L8,medium,D
34.072535,-83.747405,019,036,5653,5768,2023-01-23,16:12,L8,high,D
34.072265,-83.747416,019,036,5653,5769,2023-01-23,16:12,L8,high,D
34.212095,-83.718288,019,036,5726,5249,2023-01-23,16:12,L8,medium,D
34.211825,-83.718298,019,036,5726,5250,2023-01-23,16:12,L8,high,D
34.332115,-83.56923,019,036,6169,4790,2023-01-23,16:12,L8,medium,D
34.332106,-83.568904,019,036,6170,4790,2023-01-23,16:12,L8,high,D
34.331836,-83.568915,019,036,6170,4791,2023-01-23,16:12,L8,medium,D
33.87777,-83.565497,019,036,6237,6470,2023-01-23,16:12,L8,high,D
33.877761,-83.565174,019,036,6238,6470,2023-01-23,16:12,L8,medium,D
34.657213,-83.487818,019,036,6377,3579,2023-01-23,16:12,L8,high,D
34.159458,-83.412641,019,036,6672,5412,2023-01-23,16:12,L8,high,D
34.159188,-83.412652,019,036,6672,5413,2023-01-23,16:12,L8,high,D
34.159449,-83.412316,019,036,6673,5412,2023-01-23,16:12,L8,high,D
34.159179,-83.412327,019,036,6673,5413,2023-01-23,16:12,L8,high,D
34.562286,-83.330706,019,036,6870,3913,2023-01-23,16:12,L8,low,D
34.758528,-83.294191,019,036,6955,3183,2023-01-23,16:12,L8,low,D
34.072273,-83.74774,019,036,5652,5769,2023-01-23,16:12,L8,high,D
34.072012,-83.748075,019,036,5651,5770,2023-01-23,16:12,L8,high,D
34.072813,-83.74772,019,036,5652,5767,2023-01-23,16:12,L8,high,D
34.072543,-83.74773,019,036,5652,5768,2023-01-23,16:12,L8,high,D
34.072003,-83.747751,019,036,5652,5770,2023-01-23,16:12,L8,high,D
34.03819,-83.798739,019,036,5499,5900,2023-01-23,16:12,L8,high,D
34.568708,-83.737339,019,036,5625,3932,2023-01-23,16:12,L8,medium,D
34.568438,-83.737349,019,036,5625,3933,2023-01-23,16:12,L8,high,D
34.072029,-83.748724,019,036,5649,5770,2023-01-23,16:12,L8,high,D
34.072561,-83.748379,019,036,5650,5768,2023-01-23,16:12,L8,high,D
34.07229,-83.748389,019,036,5650,5769,2023-01-23,16:12,L8,high,D
34.07202,-83.7484,019,036,5650,5770,2023-01-23,16:12,L8,high,D
34.072552,-83.748055,019,036,5651,5768,2023-01-23,16:12,L8,high,D
34.072282,-83.748065,019,036,5651,5769,2023-01-23,16:12,L8,high,D
42.515961,-94.816938,027,030,1752,6395,2023-01-23,16:59,L9,high,D
42.516231,-94.816946,027,030,1752,6394,2023-01-23,16:59,L9,high,D
42.515956,-94.817303,027,030,1751,6395,2023-01-23,16:59,L9,low,D
42.516226,-94.817311,027,030,1751,6394,2023-01-23,16:59,L9,low,D
41.778613,-94.325253,027,031,4456,3899,2023-01-23,17:00,L9,high,D
41.778883,-94.325258,027,031,4456,3898,2023-01-23,17:00,L9,high,D
41.778608,-94.325614,027,031,4455,3899,2023-01-23,17:00,L9,high,D
41.731901,-94.53928,027,031,3860,4062,2023-01-23,17:00,L9,low,D
41.765383,-94.561013,027,031,3802,3937,2023-01-23,17:00,L9,high,D
41.765653,-94.561019,027,031,3802,3936,2023-01-23,17:00,L9,low,D
42.108216,-93.581357,027,031,6525,2702,2023-01-23,17:00,L9,high,D
42.108215,-93.58172,027,031,6524,2702,2023-01-23,17:00,L9,high,D
41.587893,-93.615537,027,031,6417,4627,2023-01-23,17:00,L9,low,D
41.410469,-93.644369,027,031,6332,5283,2023-01-23,17:00,L9,high,D
41.41074,-93.644372,027,031,6332,5282,2023-01-23,17:00,L9,high,D
41.801229,-93.730243,027,031,6105,3835,2023-01-23,17:00,L9,low,D
41.801499,-93.730246,027,031,6105,3834,2023-01-23,17:00,L9,low,D
41.877186,-93.80667,027,031,5896,3552,2023-01-23,17:00,L9,high,D
41.934751,-94.01004,027,031,5336,3333,2023-01-23,17:00,L9,low,D
41.716509,-94.321451,027,031,4463,4129,2023-01-23,17:00,L9,low,D
42.515961,-94.816938,027,031,3152,1145,2023-01-23,17:00,L9,high,D
41.71678,-94.321457,027,031,4463,4128,2023-01-23,17:00,L9,high,D
42.516231,-94.816946,027,031,3152,1144,2023-01-23,17:00,L9,high,D
42.515956,-94.817303,027,031,3151,1145,2023-01-23,17:00,L9,low,D
42.516226,-94.817311,027,031,3151,1144,2023-01-23,17:00,L9,low,D
41.225748,-94.983687,027,031,2585,5910,2023-01-23,17:00,L9,high,D
41.226019,-94.983695,027,031,2585,5909,2023-01-23,17:00,L9,high,D
41.252157,-95.003462,027,031,2532,5811,2023-01-23,17:00,L9,high,D
41.252427,-95.003471,027,031,2532,5810,2023-01-23,17:00,L9,high,D
41.252151,-95.00382,027,031,2531,5811,2023-01-23,17:00,L9,high,D
41.252421,-95.003828,027,031,2531,5810,2023-01-23,17:00,L9,high,D
41.252691,-95.003837,027,031,2531,5809,2023-01-23,17:00,L9,high,D
